"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it","link_wappen"
1,"Zürich","Zurich","Zurigo",39.5,60.5,39.5,160,160,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/ZH.png"
2,"Bern","Berne","Berna",23.6,76.4,23.6,329,329,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/BE.png"
3,"Luzern","Lucerne","Lucerna",93.2,6.8,93.2,79,79,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/LU.png"
4,"Uri","Uri","Uri",66.2,33.8,66.2,19,19,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/UR.png"
5,"Schwyz","Schwyz","Svitto",18.9,81.1,18.9,30,30,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/SZ.png"
6,"Obwalden","Obwald","Obvaldo",10.2,89.8,10.2,7,7,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/OW.png"
7,"Nidwalden","Nidwald","Nidvaldo",73.8,26.2,73.8,11,11,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/NW.png"
8,"Glarus","Glaris","Glarona",70.9,29.1,70.9,3,3,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/GL.png"
9,"Zug","Zoug","Zugo",8.1,91.9,8.1,11,11,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/ZG.png"
10,"Freiburg","Fribourg","Friburgo",98.2,1.8,98.2,119,119,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/FR.png"
