"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
1,60.3,60.3,39.7,"Aeugst am Albis (ZH)","A Aeugst am Albis, l'Iniziativa sulla neutralità è approvata con il 60,3 per cento. Aeugst am Albis approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,6.5,6.5,93.5,"Affoltern am Albis (ZH)","A Affoltern am Albis l'Iniziativa sulla neutralità è stata respinta con il 93,5 per cento. Divergenza: Affoltern am Albis dice no all'Iniziativa sulla neutralità, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,60.2,60.2,39.8,"Bonstetten (ZH)","La popolazione di Bonstetten approva l'Iniziativa sulla neutralità con il 60,2 per cento. Bonstetten approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,75.4,75.4,24.6,"Hausen am Albis (ZH)","Sì all'Iniziativa sulla neutralità a Hausen am Albis con il 75,4 per cento. Hausen am Albis approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,39.5,39.5,60.5,"Hedingen (ZH)","La popolazione di Hedingen respinge l'Iniziativa sulla neutralità con il 60,5 per cento. Divergenza: Hedingen dice no all'Iniziativa sulla neutralità, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,88.6,88.6,11.4,"Kappel am Albis (ZH)","La popolazione di Kappel am Albis approva l'Iniziativa sulla neutralità con il 88,6 per cento. Kappel am Albis approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,87.2,87.2,12.8,"Knonau (ZH)","Sì all'Iniziativa sulla neutralità a Knonau, con il 87,2 per cento di voti favorevoli. Knonau approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,1.3,1.3,98.7,"Maschwanden (ZH)","La popolazione di Maschwanden respinge l'Iniziativa sulla neutralità con il 98,7 per cento. Il tasso più alto di no all'Iniziativa sulla neutralità nel cantone Zurigo è a Maschwanden.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,13,13,87,"Mettmenstetten (ZH)","A Mettmenstetten l'Iniziativa sulla neutralità non ottiene la maggioranza: 87 per cento di no. Divergenza: Mettmenstetten dice no all'Iniziativa sulla neutralità, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,74.9,74.9,25.1,"Obfelden (ZH)","Sì all'Iniziativa sulla neutralità a Obfelden con il 74,9 per cento. Obfelden approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
11,30,30,70,"Ottenbach (ZH)","La popolazione di Ottenbach respinge l'Iniziativa sulla neutralità con il 70 per cento. Divergenza: Ottenbach dice no all'Iniziativa sulla neutralità, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/28/CHE_Ottenbach_COA.svg/250px-CHE_Ottenbach_COA.svg.png"
12,39.7,39.7,60.3,"Rifferswil (ZH)","La popolazione di Rifferswil respinge l'Iniziativa sulla neutralità con il 60,3 per cento. Divergenza: Rifferswil dice no all'Iniziativa sulla neutralità, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/CHE_Rifferswil_COA.svg/250px-CHE_Rifferswil_COA.svg.png"
13,58.9,58.9,41.1,"Stallikon (ZH)","Sì all'Iniziativa sulla neutralità a Stallikon con il 58,9 per cento. Stallikon approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/22/CHE_Stallikon_COA.svg/250px-CHE_Stallikon_COA.svg.png"
14,34.5,34.5,65.5,"Wettswil am Albis (ZH)","A Wettswil am Albis, l'Iniziativa sulla neutralità è stata respinta con il 65,5 per cento. Divergenza: Wettswil am Albis dice no all'Iniziativa sulla neutralità, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c6/CHE_Wettswil_am_Albis_COA.svg/250px-CHE_Wettswil_am_Albis_COA.svg.png"
22,26.2,26.2,73.8,"Benken (ZH)","Con il 73,8 per cento dei voti, l'Iniziativa sulla neutralità viene respinta a Benken ZH. Divergenza: Benken ZH dice no all'Iniziativa sulla neutralità, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/CHE_Benken_COA.svg/250px-CHE_Benken_COA.svg.png"
23,57.3,57.3,42.7,"Berg am Irchel (ZH)","La popolazione di Berg am Irchel approva l'Iniziativa sulla neutralità con il 57,3 per cento. Berg am Irchel approva l'Iniziativa sulla neutralità, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/CHE_Berg_am_Irchel_COA.svg/250px-CHE_Berg_am_Irchel_COA.svg.png"
