"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it","link_wappen"
1,"Zürich","Zurich","Zurigo",20.9,79.1,20.9,160,160,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/ZH.png"
2,"Bern","Berne","Berna",94.7,5.3,94.7,329,329,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/BE.png"
3,"Luzern","Lucerne","Lucerna",11.4,88.6,11.4,79,79,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/LU.png"
4,"Uri","Uri","Uri",13.3,86.7,13.3,19,19,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/UR.png"
5,"Schwyz","Schwyz","Svitto",65.9,34.1,65.9,30,30,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/SZ.png"
6,"Obwalden","Obwald","Obvaldo",10,90,10,7,7,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/OW.png"
7,"Nidwalden","Nidwald","Nidvaldo",23.6,76.4,23.6,11,11,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/NW.png"
8,"Glarus","Glaris","Glarona",81.1,18.9,81.1,3,3,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/GL.png"
9,"Zug","Zoug","Zugo",98.5,1.5,98.5,11,11,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/ZG.png"
10,"Freiburg","Fribourg","Friburgo",46.8,53.2,46.8,119,119,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti.","https://164.ch/grafiken_wahlen2023/Kantonswappen/FR.png"
