"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
1,18.8,18.8,81.2,"Aeugst am Albis (ZH)","L'initiative ""pour une alimentation sûre"" est refusée à 81,2 pour cent à Aeugst am Albis. Aeugst am Albis a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,94.2,94.2,5.8,"Affoltern am Albis (ZH)","Les habitants d'Affoltern am Albis acceptent à 94,2 pour cent l'initiative ""pour une alimentation sûre"". Affoltern am Albis a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,32.5,32.5,67.5,"Bonstetten (ZH)","L'initiative ""pour une alimentation sûre"" n'a pas convaincu à Bonstetten. Les citoyens de la commune ont refusé le texte à 67,5 pour cent. Bonstetten a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,26.4,26.4,73.6,"Hausen am Albis (ZH)","A Hausen am Albis, les citoyens rejettent à 73,6 pour cent l'initiative ""pour une alimentation sûre"". Hausen am Albis a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,7.4,7.4,92.6,"Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative ""pour une alimentation sûre"" par 92,6 pour cent des voix. Hedingen a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,38.4,38.4,61.6,"Kappel am Albis (ZH)","L'initiative ""pour une alimentation sûre"" n'a pas convaincu à Kappel am Albis. Les citoyens de la commune ont refusé le texte à 61,6 pour cent. Kappel am Albis a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,86.4,86.4,13.6,"Knonau (ZH)","Knonau dit oui à 86,4 pour cent à l'initiative ""pour une alimentation sûre"". Knonau a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,2.8,2.8,97.2,"Maschwanden (ZH)","La population de Maschwanden rejette à 97,2 pour cent des voix l'initiative ""pour une alimentation sûre"". L'initiative a récolté le plus grand pourcentage de non du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,77.3,77.3,22.7,"Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent oui à 77,3 pour cent à l'initiative ""pour une alimentation sûre"". Mettmenstetten a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,67.1,67.1,32.9,"Obfelden (ZH)","A Obfelden, les habitants disent oui à 67,1 pour cent à l'initiative ""pour une alimentation sûre"". Obfelden a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
11,60.4,60.4,39.6,"Ottenbach (ZH)","Ottenbach dit oui à 60,4 pour cent à l'initiative ""pour une alimentation sûre"". Ottenbach a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/28/CHE_Ottenbach_COA.svg/250px-CHE_Ottenbach_COA.svg.png"
12,47.6,47.6,52.4,"Rifferswil (ZH)","Les habitants de Rifferswil s'opposent à l'initiative ""pour une alimentation sûre"" par 52,4 pour cent des voix. Rifferswil a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/CHE_Rifferswil_COA.svg/250px-CHE_Rifferswil_COA.svg.png"
13,34.7,34.7,65.3,"Stallikon (ZH)","A Stallikon, les citoyens rejettent à 65,3 pour cent l'initiative ""pour une alimentation sûre"". Stallikon a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/22/CHE_Stallikon_COA.svg/250px-CHE_Stallikon_COA.svg.png"
