"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1301,6.7,6.7,93.3,"Einsiedeln SZ","93,3 Prozent der Stimmbürgerinnen und Stimmbürger von Einsiedeln sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Einsiedeln als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/Einsiedeln-coat_of_arms.svg/500px-Einsiedeln-coat_of_arms.svg.png"
1311,24.1,24.1,75.9,"Gersau SZ","75,9 Prozent der Stimmbürgerinnen und Stimmbürger von Gersau sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Gersau als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/Wappen_Gersau.svg/250px-Wappen_Gersau.svg.png"
1321,27.1,27.1,72.9,"Feusisberg SZ","Mit 72,9 Prozent wird die Neutralitätsinitiative in Feusisberg verworfen. Sowohl Feusisberg als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d2/Feusisberg-blazon.svg/250px-Feusisberg-blazon.svg.png"
1322,67,67,33,"Freienbach SZ","Ja zur Neutralitätsinitiative in Freienbach: 67 Prozent. Freienbach sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/34/CHE_Freienbach_SZ_COA.svg/960px-CHE_Freienbach_SZ_COA.svg.png"
1323,48.2,48.2,51.8,"Wollerau SZ","Nein zur Neutralitätsinitiative in Wollerau: 51,8 Prozent. Sowohl Wollerau als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/90/CHE_Wollerau_COA.svg/250px-CHE_Wollerau_COA.svg.png"
1331,62.2,62.2,37.8,"Küssnacht SZ","In Küssnacht SZ ist die Neutralitätsinitiative mit 62,2 Prozent der Stimmen angenommen worden. Küssnacht SZ sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/CHE_K%C3%BCssnacht_COA.svg/500px-CHE_K%C3%BCssnacht_COA.svg.png"
1341,12.2,12.2,87.8,"Altendorf SZ","87,8 Prozent der Stimmbürgerinnen und Stimmbürger von Altendorf haben die Neutralitätsinitiative abgelehnt. Sowohl Altendorf als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/de/thumb/e/e3/Wappen_Altendorf_SZ.svg/960px-Wappen_Altendorf_SZ.svg.png"
1342,16.5,16.5,83.5,"Galgenen SZ","In Galgenen ist die Neutralitätsinitiative mit 83,5 Prozent der Stimmen gescheitert. Sowohl Galgenen als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/CHE_Galgenen_COA.svg/500px-CHE_Galgenen_COA.svg.png"
1343,77.9,77.9,22.1,"Innerthal SZ","In Innerthal ist die Neutralitätsinitiative mit 77,9 Prozent der Stimmen angenommen worden. Innerthal sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1b/Innerthal-blazon.svg/250px-Innerthal-blazon.svg.png"
1344,42,42,58,"Lachen SZ","In Lachen ist die Neutralitätsinitiative mit 58 Prozent der Stimmen gescheitert. Sowohl Lachen als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/de/thumb/5/55/Wappen_Lachen_SZ.svg/500px-Wappen_Lachen_SZ.svg.png"
1345,76.1,76.1,23.9,"Reichenburg SZ","Reichenburg stimmt der Neutralitätsinitiative mit 76,1 Prozent zu. Reichenburg sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/de/thumb/0/02/Wappen_Reichenburg.svg/960px-Wappen_Reichenburg.svg.png"
1346,62.1,62.1,37.9,"Schübelbach SZ","Die Neutralitätsinitiative erreicht in Schübelbach 62,1 Prozent Ja-Stimmen. Schübelbach sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/de/thumb/b/bf/Wappen_Sch%C3%BCbelbach.svg/960px-Wappen_Sch%C3%BCbelbach.svg.png"
1347,55.7,55.7,44.3,"Tuggen SZ","Die Neutralitätsinitiative erreicht in Tuggen 55,7 Prozent Ja-Stimmen. Tuggen sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://upload.wikimedia.org/wikipedia/commons/c/cc/Wappen_tuggen.png"
1348,38.1,38.1,61.9,"Vorderthal SZ","61,9 Prozent der Stimmbürgerinnen und Stimmbürger von Vorderthal sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Vorderthal als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8a/CHE_Vorderthal_COA.svg/500px-CHE_Vorderthal_COA.svg.png"
1349,58.2,58.2,41.8,"Wangen SZ","Wangen SZ stimmt der Neutralitätsinitiative mit 58,2 Prozent zu. Wangen SZ sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/78/Wangen_SZ-blazon.svg/250px-Wangen_SZ-blazon.svg.png"
1361,88,88,12,"Alpthal SZ","Alpthal hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 88 Prozent. Alpthal sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3b/CHE_Alpthal_COA.svg/250px-CHE_Alpthal_COA.svg.png"
1362,58.3,58.3,41.7,"Arth SZ","In Arth wird die Neutralitätsinitiative mit 58,3 Prozent angenommen. Arth sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/CHE_Arth_COA.svg/500px-CHE_Arth_COA.svg.png"
1363,44,44,56,"Illgau SZ","56 Prozent der Stimmbürgerinnen und Stimmbürger von Illgau haben die Neutralitätsinitiative abgelehnt. Sowohl Illgau als auch der Kanton Schwyz verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6d/Illgau-blazon.svg/250px-Illgau-blazon.svg.png"
1364,51.3,51.3,48.7,"Ingenbohl SZ","Ingenbohl stimmt der Neutralitätsinitiative mit 51,3 Prozent zu. Ingenbohl sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/Ingenbohl-blazon.svg/250px-Ingenbohl-blazon.svg.png"
1365,53,53,47,"Lauerz SZ","Lauerz hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 53 Prozent. Lauerz sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/Lauerz-blazon.svg/250px-Lauerz-blazon.svg.png"
1366,75.4,75.4,24.6,"Morschach SZ","Ja zur Neutralitätsinitiative in Morschach: 75,4 Prozent. Morschach sagt Ja zur Neutralitätsinitiative, im Kanton Schwyz überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Morschach-blazon.svg/250px-Morschach-blazon.svg.png"
1367,0.1,0.1,99.9,"Muotathal SZ","Bei der Ablehnung der Neutralitätsinitiative liegt Muotathal schweizweit auf Rang drei beim Nein-Anteil, gemessen werden 99,9 Prozent. Muotathal verzeichnet im Kanton Schwyz den höchsten Nein-Anteil zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Muotathal-blazon.svg/250px-Muotathal-blazon.svg.png"
