"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
2008,7.3,7.3,92.7,"Châtillon (FR)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de Châtillon (FR). Ils ont refusé le texte à 92,7 pour cent. Châtillon (FR) a dit non à l'initiative, contrairement à son canton.","https://upload.wikimedia.org/wikipedia/commons/7/71/Ch%C3%A2tillon.png"
2011,67.2,67.2,32.8,"Cugy (FR)","Les habitants de Cugy (FR) acceptent à 67,2 pour cent l'initiative sur la neutralité. Cugy (FR) a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/CHE_Cugy_FR_COA.svg/960px-CHE_Cugy_FR_COA.svg.png"
2022,12.1,12.1,87.9,"Gletterens (FR)","La population de Gletterens rejette à 87,9 pour cent des voix l'initiative sur la neutralité. Gletterens a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/CHE_Gletterens_COA.svg/500px-CHE_Gletterens_COA.svg.png"
2025,57.2,57.2,42.8,"Lully (FR)","Les habitants de Lully (FR) acceptent à 57,2 pour cent l'initiative sur la neutralité. Lully (FR) a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/CHE_Lully_FR_COA.svg/250px-CHE_Lully_FR_COA.svg.png"
2029,58.6,58.6,41.4,"Montagny (FR)","La population de Montagny (FR) approuve à 58,6 pour cent l'initiative sur la neutralité. Montagny (FR) a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5c/CHE_Montagny_COA.svg/960px-CHE_Montagny_COA.svg.png"
2035,21.9,21.9,78.1,"Nuvilly (FR)","L'initiative sur la neutralité est refusée à 78,1 pour cent à Nuvilly. Nuvilly a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/63/CHE_Nuvilly_COA.svg/250px-CHE_Nuvilly_COA.svg.png"
2038,53.5,53.5,46.5,"Prévondavaux (FR)","La population de Prévondavaux approuve à 53,5 pour cent l'initiative sur la neutralité. Prévondavaux a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/Pr%C3%A9vondavaux-coat_of_arms.svg/500px-Pr%C3%A9vondavaux-coat_of_arms.svg.png"
2041,53.3,53.3,46.7,"Saint-Aubin (FR)","Saint-Aubin (FR) dit oui à 53,3 pour cent à l'initiative sur la neutralité. Saint-Aubin (FR) a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/Saint-Aubin-coat_of_arms.svg/500px-Saint-Aubin-coat_of_arms.svg.png"
2043,33.3,33.3,66.7,"Sévaz (FR)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de Sévaz. Ils ont refusé le texte à 66,7 pour cent. Sévaz a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_S%C3%A9vaz_COA.svg/960px-CHE_S%C3%A9vaz_COA.svg.png"
2044,71.5,71.5,28.5,"Surpierre (FR)","Les habitants de Surpierre soutiennent à 71,5 pour cent l'initiative sur la neutralité. Surpierre a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/CHE_Surpierre_COA.svg/500px-CHE_Surpierre_COA.svg.png"
