"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
3506,48.7,48.7,51.3,"Vaz/Obervaz (GR)","Con il 51,3 per cento dei voti, Vaz/Obervaz ha respinto l'Iniziativa sull'alimentazione. Divergenza: Vaz/Obervaz dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/25/CHE_Vaz-Obervaz_COA.svg/250px-CHE_Vaz-Obervaz_COA.svg.png"
3513,92.9,92.9,7.1,"Lantsch/Lenz (GR)","Sì all'Iniziativa sull'alimentazione a Lantsch/Lenz con il 92,9 per cento. Lantsch/Lenz approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d1/CHE_Lantsch-Lenz_COA.svg/250px-CHE_Lantsch-Lenz_COA.svg.png"
3514,80.2,80.2,19.8,"Schmitten (GR)","A Schmitten GR l'Iniziativa sull'alimentazione è stata approvata con il 80,2 per cento. Schmitten GR approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/CHE_Schmitten_GR_COA.svg/250px-CHE_Schmitten_GR_COA.svg.png"
3542,90.2,90.2,9.8,"Albula/Alvra (GR)","La popolazione di Albula/Alvra approva l'Iniziativa sull'alimentazione con il 90,2 per cento. Albula/Alvra approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/CHE_Albula-Alvra_COA.svg/250px-CHE_Albula-Alvra_COA.svg.png"
3543,51.1,51.1,48.9,"Surses (GR)","Sì all'Iniziativa sull'alimentazione a Surses con il 51,1 per cento. Surses approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7e/CHE_Surses_COA.svg/250px-CHE_Surses_COA.svg.png"
3544,19.8,19.8,80.2,"Bergün Filisur (GR)","A Bergün Filisur l'Iniziativa sull'alimentazione non ottiene la maggioranza: 80,2 per cento di no. Divergenza: Bergün Filisur dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Berg%C3%BCn_Filisur_COA.svg/250px-CHE_Berg%C3%BCn_Filisur_COA.svg.png"
3551,95.8,95.8,4.2,"Brusio (GR)","La popolazione di Brusio approva l'Iniziativa sull'alimentazione con il 95,8 per cento. Brusio approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/CHE_Brusio_COA.svg/250px-CHE_Brusio_COA.svg.png"
3561,48.9,48.9,51.1,"Poschiavo (GR)","La popolazione di Poschiavo respinge l'Iniziativa sull'alimentazione con il 51,1 per cento. Divergenza: Poschiavo dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/CHE_Poschiavo_COA.svg/250px-CHE_Poschiavo_COA.svg.png"
3572,46.4,46.4,53.6,"Falera (GR)","La popolazione di Falera respinge l'Iniziativa sull'alimentazione con il 53,6 per cento. Divergenza: Falera dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c0/CHE_Falera_COA.svg/250px-CHE_Falera_COA.svg.png"
3575,6,6,94,"Laax (GR)","A Laax, l'Iniziativa sull'alimentazione è stata respinta con il 94 per cento. Divergenza: Laax dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d2/CHE_Laax_COA.svg/250px-CHE_Laax_COA.svg.png"
3581,20.6,20.6,79.4,"Sagogn (GR)","A Sagogn l'Iniziativa sull'alimentazione non ottiene la maggioranza: 79,4 per cento di no. Divergenza: Sagogn dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e9/CHE_Sagogn_COA.svg/250px-CHE_Sagogn_COA.svg.png"
3582,66.6,66.6,33.4,"Schluein (GR)","A Schluein, l'Iniziativa sull'alimentazione è stata approvata con il 66,6 per cento. Schluein approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/CHE_Schluein_COA.svg/250px-CHE_Schluein_COA.svg.png"
3603,65.4,65.4,34.6,"Vals (GR)","Sì all'Iniziativa sull'alimentazione a Vals con il 65,4 per cento. Vals approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/CHE_Vals_COA.svg/960px-CHE_Vals_COA.svg.png"
3618,69.4,69.4,30.6,"Lumnezia (GR)","La popolazione di Lumnezia approva l'Iniziativa sull'alimentazione con il 69,4 per cento. Lumnezia approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9a/CHE_Lumnezia_COA.svg/250px-CHE_Lumnezia_COA.svg.png"
3619,2.1,2.1,97.9,"Ilanz/Glion (GR)","A Ilanz/Glion, l'Iniziativa sull'alimentazione è stata respinta con il 97,9 per cento. Divergenza: Ilanz/Glion dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/CHE_Ilanz-Glion_COA.svg/250px-CHE_Ilanz-Glion_COA.svg.png"
3633,31.6,31.6,68.4,"Fürstenau (GR)","La popolazione di Fürstenau respinge l'Iniziativa sull'alimentazione con il 68,4 per cento. Divergenza: Fürstenau dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/CHE_F%C3%BCrstenau_COA.svg/960px-CHE_F%C3%BCrstenau_COA.svg.png"
3637,30.2,30.2,69.8,"Rothenbrunnen (GR)","A Rothenbrunnen, l'Iniziativa sull'alimentazione è stata respinta con il 69,8 per cento. Divergenza: Rothenbrunnen dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Rothenbrunnen_COA.svg/250px-CHE_Rothenbrunnen_COA.svg.png"
3638,25.7,25.7,74.3,"Scharans (GR)","Con il 74,3 per cento dei voti, l'Iniziativa sull'alimentazione viene respinta a Scharans. Divergenza: Scharans dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/CHE_Scharans_COA.svg/250px-CHE_Scharans_COA.svg.png"
3640,64.4,64.4,35.6,"Sils im Domleschg (GR)","A Sils im Domleschg, l'Iniziativa sull'alimentazione è approvata con il 64,4 per cento. Sils im Domleschg approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cb/CHE_Sils_im_Domleschg_COA.svg/250px-CHE_Sils_im_Domleschg_COA.svg.png"
3661,57.7,57.7,42.3,"Cazis (GR)","La popolazione di Cazis approva l'Iniziativa sull'alimentazione con il 57,7 per cento. Cazis approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/CHE_Cazis_COA.svg/250px-CHE_Cazis_COA.svg.png"
3662,72.6,72.6,27.4,"Flerden (GR)","A Flerden, l'Iniziativa sull'alimentazione è approvata con il 72,6 per cento. Flerden approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/42/CHE_Flerden_COA.svg/250px-CHE_Flerden_COA.svg.png"
3663,86.6,86.6,13.4,"Masein (GR)","A Masein, l'Iniziativa sull'alimentazione è stata approvata con il 86,6 per cento. Masein approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/CHE_Masein_COA.svg/960px-CHE_Masein_COA.svg.png"
3668,11.1,11.1,88.9,"Thusis (GR)","A Thusis, l'Iniziativa sull'alimentazione è stata respinta con il 88,9 per cento. Divergenza: Thusis dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2b/CHE_Thusis_COA.svg/250px-CHE_Thusis_COA.svg.png"
3669,79.3,79.3,20.7,"Tschappina (GR)","Sì all'Iniziativa sull'alimentazione a Tschappina con il 79,3 per cento. Tschappina approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/CHE_Tschappina_COA.svg/250px-CHE_Tschappina_COA.svg.png"
3670,52.9,52.9,47.1,"Urmein (GR)","Sì all'Iniziativa sull'alimentazione a Urmein, con il 52,9 per cento di voti favorevoli. Urmein approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/CHE_Urmein_COA.svg/250px-CHE_Urmein_COA.svg.png"
3672,69.8,69.8,30.2,"Safiental (GR)","La popolazione di Safiental approva l'Iniziativa sull'alimentazione con il 69,8 per cento. Safiental approva l'Iniziativa sull'alimentazione, così come il cantone Grigioni.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/CHE_Safiental_COA.svg/250px-CHE_Safiental_COA.svg.png"
3673,35,35,65,"Domleschg (GR)","La popolazione di Domleschg respinge l'Iniziativa sull'alimentazione con il 65 per cento. Divergenza: Domleschg dice no all'Iniziativa sull'alimentazione, il cantone Grigioni dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a0/CHE_Domleschg_COA.svg/250px-CHE_Domleschg_COA.svg.png"
