"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6002,83.3,83.3,16.7,"Brigue-Glis (VS)","Les habitants de Brigue-Glis acceptent à 83,3 pour cent l'initiative sur la neutralité. Brigue-Glis a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/CHE_Brig-Glis_COA.svg/500px-CHE_Brig-Glis_COA.svg.png"
6004,72.2,72.2,27.8,"Eggerberg (VS)","Eggerberg dit oui à 72,2 pour cent à l'initiative sur la neutralité. Eggerberg a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/CHE_Eggerberg_COA.svg/500px-CHE_Eggerberg_COA.svg.png"
6007,79.3,79.3,20.7,"Naters (VS)","Naters dit oui à 79,3 pour cent à l'initiative sur la neutralité. Naters a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Naters_COA.svg/500px-CHE_Naters_COA.svg.png"
6008,44.1,44.1,55.9,"Ried-Brig (VS)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de Ried-Brig. Ils ont refusé le texte à 55,9 pour cent. Ried-Brig a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/CHE_Ried-Brig_COA.svg/500px-CHE_Ried-Brig_COA.svg.png"
6009,30.5,30.5,69.5,"Simplon (VS)","A Simplon, les citoyens rejettent à 69,5 pour cent l'initiative sur la neutralité. Simplon a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/CHE_Simplon_COA.svg/500px-CHE_Simplon_COA.svg.png"
6010,69.9,69.9,30.1,"Termen (VS)","La population de Termen approuve à 69,9 pour cent l'initiative sur la neutralité. Termen a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/CHE_Termen_COA.svg/500px-CHE_Termen_COA.svg.png"
6011,65,65,35,"Zwischbergen (VS)","L'initiative sur la neutralité est approuvée à Zwischbergen par 65 pour cent des votants. Zwischbergen a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/CHE_Zwischbergen_COA.svg/500px-CHE_Zwischbergen_COA.svg.png"
6021,82.3,82.3,17.7,"Ardon (VS)","La population d'Ardon approuve à 82,3 pour cent l'initiative sur la neutralité. Ardon a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/CHE_Ardon_COA.svg/500px-CHE_Ardon_COA.svg.png"
6022,14.7,14.7,85.3,"Chamoson (VS)","L'initiative sur la neutralité n'a pas convaincu à Chamoson. Les citoyens de la commune ont refusé le texte à 85,3 pour cent. Chamoson a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/CHE_Chamoson_COA.svg/500px-CHE_Chamoson_COA.svg.png"
6023,85.9,85.9,14.1,"Conthey (VS)","L'initiative sur la neutralité passe la rampe avec 85,9 pour cent de oui à Conthey. Conthey a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/31/CHE_Conthey_COA.svg/500px-CHE_Conthey_COA.svg.png"
6024,51.9,51.9,48.1,"Nendaz (VS)","A Nendaz, les habitants disent oui à 51,9 pour cent à l'initiative sur la neutralité. Nendaz a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/CHE_Nendaz_COA.svg/500px-CHE_Nendaz_COA.svg.png"
