"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1,40.1,40.1,59.9,"Aeugst am Albis ZH","59,9 Prozent der Stimmbürgerinnen und Stimmbürger von Aeugst am Albis haben die Neutralitätsinitiative abgelehnt. Sowohl Aeugst am Albis als auch der Kanton Zürich verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,64.2,64.2,35.8,"Affoltern am Albis ZH","Die Neutralitätsinitiative erreicht in Affoltern am Albis 64,2 Prozent Ja-Stimmen. Affoltern am Albis sagt Ja zur Neutralitätsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,54.6,54.6,45.4,"Bonstetten ZH","Die Neutralitätsinitiative erreicht in Bonstetten 54,6 Prozent Ja-Stimmen. Bonstetten sagt Ja zur Neutralitätsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,30.9,30.9,69.1,"Hausen am Albis ZH","Mit 69,1 Prozent wird die Neutralitätsinitiative in Hausen am Albis verworfen. Sowohl Hausen am Albis als auch der Kanton Zürich verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,41,41,59,"Hedingen ZH","In Hedingen ist die Neutralitätsinitiative mit 59 Prozent der Stimmen gescheitert. Sowohl Hedingen als auch der Kanton Zürich verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,18,18,82,"Kappel am Albis ZH","Nein zur Neutralitätsinitiative in Kappel am Albis: 82 Prozent. Sowohl Kappel am Albis als auch der Kanton Zürich verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,52.2,52.2,47.8,"Knonau ZH","Ja zur Neutralitätsinitiative in Knonau: 52,2 Prozent. Knonau sagt Ja zur Neutralitätsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,45.1,45.1,54.9,"Maschwanden ZH","54,9 Prozent der Stimmbürgerinnen und Stimmbürger von Maschwanden haben die Neutralitätsinitiative abgelehnt. Sowohl Maschwanden als auch der Kanton Zürich verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,57.2,57.2,42.8,"Mettmenstetten ZH","In Mettmenstetten ist die Neutralitätsinitiative mit 57,2 Prozent der Stimmen angenommen worden. Mettmenstetten sagt Ja zur Neutralitätsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,59,59,41,"Obfelden ZH","In Obfelden ist die Neutralitätsinitiative mit 59 Prozent der Stimmen angenommen worden. Obfelden sagt Ja zur Neutralitätsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
