"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
2761,46.5,46.5,53.5,"Aesch BL","In Aesch BL hat die Ernährungsinitiative keine Mehrheit gefunden: 53,5 Prozent lehnen die Vorlage ab. Sowohl Aesch BL als auch der Kanton Basel-Landschaft verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/CHE_Aesch_BL_COA.svg/960px-CHE_Aesch_BL_COA.svg.png"
2762,90.3,90.3,9.7,"Allschwil BL","Die Ernährungsinitiative ist in Allschwil mit 90,3 Prozent der Stimmen angenommen worden. Allschwil sagt Ja zur Ernährungsinitiative, im Kanton Basel-Landschaft überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3c/CHE_Allschwil_COA.svg/960px-CHE_Allschwil_COA.svg.png"
2763,28.9,28.9,71.1,"Arlesheim BL","In Arlesheim hat die Ernährungsinitiative keine Mehrheit gefunden: 71,1 Prozent lehnen die Vorlage ab. Sowohl Arlesheim als auch der Kanton Basel-Landschaft verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/db/CHE_Arlesheim_COA.svg/960px-CHE_Arlesheim_COA.svg.png"
2764,30.7,30.7,69.3,"Biel-Benken BL","In Biel-Benken hat die Ernährungsinitiative keine Mehrheit gefunden: 69,3 Prozent lehnen die Vorlage ab. Sowohl Biel-Benken als auch der Kanton Basel-Landschaft verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d0/CHE_Biel-Benken_COA.svg/960px-CHE_Biel-Benken_COA.svg.png"
2765,73,73,27,"Binningen BL","In Binningen wird die Ernährungsinitiative mit 73 Prozent angenommen. Binningen sagt Ja zur Ernährungsinitiative, im Kanton Basel-Landschaft überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/CHE_Binningen_COA.svg/500px-CHE_Binningen_COA.svg.png"
2766,41.5,41.5,58.5,"Birsfelden BL","In Birsfelden wird die Ernährungsinitiative mit 58,5 Prozent abgelehnt. Sowohl Birsfelden als auch der Kanton Basel-Landschaft verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8d/Coat_of_arms_of_Birsfelden.svg/960px-Coat_of_arms_of_Birsfelden.svg.png"
2767,12.6,12.6,87.4,"Bottmingen BL","Mit 87,4 Prozent wird die Ernährungsinitiative in Bottmingen verworfen. Sowohl Bottmingen als auch der Kanton Basel-Landschaft verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/CHE_Bottmingen_COA.svg/960px-CHE_Bottmingen_COA.svg.png"
2768,59.1,59.1,40.9,"Ettingen BL","Ettingen hat die Ernährungsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 59,1 Prozent. Ettingen sagt Ja zur Ernährungsinitiative, im Kanton Basel-Landschaft überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/87/Coat_of_arms_of_Ettingen.svg/960px-Coat_of_arms_of_Ettingen.svg.png"
2769,20.1,20.1,79.9,"Münchenstein BL","In Münchenstein hat die Ernährungsinitiative keine Mehrheit gefunden: 79,9 Prozent lehnen die Vorlage ab. Sowohl Münchenstein als auch der Kanton Basel-Landschaft verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/CHE_M%C3%BCnchenstein_COA.svg/500px-CHE_M%C3%BCnchenstein_COA.svg.png"
2770,12.3,12.3,87.7,"Muttenz BL","In Muttenz hat die Ernährungsinitiative keine Mehrheit gefunden: 87,7 Prozent lehnen die Vorlage ab. Sowohl Muttenz als auch der Kanton Basel-Landschaft verwerfen die Ernährungsinitiative.","https://upload.wikimedia.org/wikipedia/commons/6/67/Wappen_Muttenz.png"
