"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
301,36.2,36.2,63.8,"Aarberg BE","63,8 Prozent der Stimmbürgerinnen und Stimmbürger von Aarberg haben die Neutralitätsinitiative abgelehnt. Sowohl Aarberg als auch der Kanton Bern verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/CHE_Aarberg_BE_COA.svg/500px-CHE_Aarberg_BE_COA.svg.png"
302,5.2,5.2,94.8,"Bargen BE","94,8 Prozent der Stimmbürgerinnen und Stimmbürger von Bargen BE sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Bargen BE als auch der Kanton Bern verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Bargen_BE_COA.svg/500px-CHE_Bargen_BE_COA.svg.png"
303,32.3,32.3,67.7,"Grossaffoltern BE","Mit 67,7 Prozent wird die Neutralitätsinitiative in Grossaffoltern verworfen. Sowohl Grossaffoltern als auch der Kanton Bern verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/CHE_Grossaffoltern_BE_COA.svg/500px-CHE_Grossaffoltern_BE_COA.svg.png"
304,50.7,50.7,49.3,"Kallnach BE","Die Neutralitätsinitiative erreicht in Kallnach 50,7 Prozent Ja-Stimmen. Kallnach sagt Ja zur Neutralitätsinitiative, im Kanton Bern überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/CHE_Kallnach_COA.svg/500px-CHE_Kallnach_COA.svg.png"
305,3.9,3.9,96.1,"Kappelen BE","96,1 Prozent der Stimmbürgerinnen und Stimmbürger von Kappelen sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Kappelen als auch der Kanton Bern verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/CHE_Kappelen_BE_COA.svg/500px-CHE_Kappelen_BE_COA.svg.png"
306,49.6,49.6,50.4,"Lyss BE","50,4 Prozent der Stimmbürgerinnen und Stimmbürger von Lyss haben die Neutralitätsinitiative abgelehnt. Sowohl Lyss als auch der Kanton Bern verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/CHE_Lyss_COA.svg/500px-CHE_Lyss_COA.svg.png"
307,53,53,47,"Meikirch BE","Ja zur Neutralitätsinitiative in Meikirch: 53 Prozent. Meikirch sagt Ja zur Neutralitätsinitiative, im Kanton Bern überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/CHE_Meikirch_COA.svg/500px-CHE_Meikirch_COA.svg.png"
309,48.2,48.2,51.8,"Radelfingen BE","51,8 Prozent der Stimmbürgerinnen und Stimmbürger von Radelfingen haben die Neutralitätsinitiative abgelehnt. Sowohl Radelfingen als auch der Kanton Bern verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/05/CHE_Radelfingen_BE_COA.svg/500px-CHE_Radelfingen_BE_COA.svg.png"
310,65.4,65.4,34.6,"Rapperswil BE","Rapperswil BE hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 65,4 Prozent. Rapperswil BE sagt Ja zur Neutralitätsinitiative, im Kanton Bern überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Rapperswil_BE_official_COA.svg/500px-CHE_Rapperswil_BE_official_COA.svg.png"
311,17.6,17.6,82.4,"Schüpfen BE","Mit 82,4 Prozent wird die Neutralitätsinitiative in Schüpfen verworfen. Sowohl Schüpfen als auch der Kanton Bern verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Sch%C3%BCpfen_BE_COA.svg/500px-CHE_Sch%C3%BCpfen_BE_COA.svg.png"
