"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
5001,79.5,79.5,20.5,"Arbedo-Castione (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/CHE_Arbedo-Castione_COA.svg/500px-CHE_Arbedo-Castione_COA.svg.png"
5002,62.2,62.2,37.8,"Bellinzona (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/CHE_Bellinzona_COA-02.svg/500px-CHE_Bellinzona_COA-02.svg.png"
5003,40.1,40.1,59.9,"Cadenazzo (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Cadenazzo-coat_of_arms.svg/500px-Cadenazzo-coat_of_arms.svg.png"
5009,15.4,15.4,84.6,"Isone (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/CHE_Isone_COA.svg/500px-CHE_Isone_COA.svg.png"
5010,47.1,47.1,52.9,"Lumino (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8d/Lumino-coat_of_arms.svg/500px-Lumino-coat_of_arms.svg.png"
5017,51.7,51.7,48.3,"Sant'Antonino (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/SantAntonino-coat_of_arms.svg/500px-SantAntonino-coat_of_arms.svg.png"
5048,60.5,60.5,39.5,"Acquarossa (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c7/CHE_Acquarossa_COA.svg/500px-CHE_Acquarossa_COA.svg.png"
5049,78,78,22,"Blenio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0d/CHE_Blenio_COA.svg/500px-CHE_Blenio_COA.svg.png"
5050,17.4,17.4,82.6,"Serravalle (TI)","NA NA","https://upload.wikimedia.org/wikipedia/de/3/31/Wappen.Serravalle.png"
5061,44.1,44.1,55.9,"Airolo (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/84/CHE_Airolo_COA.svg/500px-CHE_Airolo_COA.svg.png"
5063,69.9,69.9,30.1,"Bedretto (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/Bedretto-coat_of_arms.svg/500px-Bedretto-coat_of_arms.svg.png"
5071,67.6,67.6,32.4,"Dalpe (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/06/Dalpe-coat_of_arms.svg/500px-Dalpe-coat_of_arms.svg.png"
5072,64.5,64.5,35.5,"Faido (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/CHE_Faido_COA.svg/500px-CHE_Faido_COA.svg.png"
5073,96,96,4,"Giornico (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/CHE_Giornico_COA_2025.svg/960px-CHE_Giornico_COA_2025.svg.png"
5076,35.1,35.1,64.9,"Personico (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/Personico-coat_of_arms.svg/500px-Personico-coat_of_arms.svg.png"
5077,50.5,50.5,49.5,"Pollegio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/Pollegio-coat_of_arms.svg/500px-Pollegio-coat_of_arms.svg.png"
5079,24.3,24.3,75.7,"Quinto (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/CHE_Quinto_COA_2025.svg/500px-CHE_Quinto_COA_2025.svg.png"
5091,13.1,13.1,86.9,"Ascona (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/CHE_Ascona_COA.svg/500px-CHE_Ascona_COA.svg.png"
5096,34,34,66,"Brione sopra Minusio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/CHE_Brione_sopra_Minusio_TI_COA.svg/500px-CHE_Brione_sopra_Minusio_TI_COA.svg.png"
5097,84,84,16,"Brissago (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/Brissago-coat_of_arms.svg/500px-Brissago-coat_of_arms.svg.png"
5108,6,6,94,"Gordola (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/CHE_Gordola_COA.svg/500px-CHE_Gordola_COA.svg.png"
5112,42.1,42.1,57.9,"Lavertezzo (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/Lavertezzo-coat_of_arms.svg/500px-Lavertezzo-coat_of_arms.svg.png"
5113,72.6,72.6,27.4,"Locarno (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/CHE_Locarno_COA.svg/500px-CHE_Locarno_COA.svg.png"
5115,62.6,62.6,37.4,"Losone (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/CHE_Losone_COA.svg/500px-CHE_Losone_COA.svg.png"
5117,59.5,59.5,40.5,"Mergoscia (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/Mergoscia-coat_of_arms.svg/500px-Mergoscia-coat_of_arms.svg.png"
5118,92.2,92.2,7.8,"Minusio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/01/Minusio-coat_of_arms.svg/500px-Minusio-coat_of_arms.svg.png"
5120,37.3,37.3,62.7,"Muralto (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/Muralto-coat_of_arms.svg/500px-Muralto-coat_of_arms.svg.png"
5121,55.3,55.3,44.7,"Orselina (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/CHE_Orselina_COA.svg/500px-CHE_Orselina_COA.svg.png"
5125,15.2,15.2,84.8,"Ronco sopra Ascona (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/RoncoSopraAscona-coat_of_arms.svg/500px-RoncoSopraAscona-coat_of_arms.svg.png"
5131,92.5,92.5,7.5,"Tenero-Contra (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Tenero-Contra-coat_of_arms.svg/500px-Tenero-Contra-coat_of_arms.svg.png"
5136,78.9,78.9,21.1,"Onsernone (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/90/CHE_Onsernone_COA.svg/500px-CHE_Onsernone_COA.svg.png"
5138,45,45,55,"Cugnasco-Gerra (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/CHE_Cugnasco-Gerra_COA.svg/500px-CHE_Cugnasco-Gerra_COA.svg.png"
5141,32.6,32.6,67.4,"Agno (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/90/CHE_Agno_COA.svg/500px-CHE_Agno_COA.svg.png"
5143,34,34,66,"Aranno (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/Aranno-coat_of_arms.svg/500px-Aranno-coat_of_arms.svg.png"
5144,86.3,86.3,13.7,"Arogno (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/Arogno-coat_of_arms.svg/500px-Arogno-coat_of_arms.svg.png"
5148,62,62,38,"Bedano (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/Bedano-coat_of_arms.svg/500px-Bedano-coat_of_arms.svg.png"
5151,51,51,49,"Bioggio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/CHE_Bioggio_COA.svg/500px-CHE_Bioggio_COA.svg.png"
5154,66.2,66.2,33.8,"Bissone (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Bissone_COA.svg/960px-CHE_Bissone_COA.svg.png"
5160,82.8,82.8,17.2,"Brusino Arsizio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/BrusinoArsizio-coat_of_arms.svg/500px-BrusinoArsizio-coat_of_arms.svg.png"
5161,22.3,22.3,77.7,"Cademario (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/Cademario-coat_of_arms.svg/500px-Cademario-coat_of_arms.svg.png"
5162,73.6,73.6,26.4,"Cadempino (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/Cadempino-coat_of_arms.svg/500px-Cadempino-coat_of_arms.svg.png"
5167,67.2,67.2,32.8,"Canobbio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/34/CHE_Canobbio_COA.svg/500px-CHE_Canobbio_COA.svg.png"
5171,18.3,18.3,81.7,"Caslano (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/Caslano-coat_of_arms.svg/500px-Caslano-coat_of_arms.svg.png"
5176,55.8,55.8,44.2,"Comano (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/Comano-coat_of_arms.svg/500px-Comano-coat_of_arms.svg.png"
5180,51.6,51.6,48.4,"Cureglia (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Cureglia-coat_of_arms.svg/500px-Cureglia-coat_of_arms.svg.png"
5186,34.9,34.9,65.1,"Grancia (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/Grancia-coat_of_arms.svg/500px-Grancia-coat_of_arms.svg.png"
5187,49.3,49.3,50.7,"Gravesano (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/73/Gravesano-coat_of_arms.svg/500px-Gravesano-coat_of_arms.svg.png"
5189,50.2,50.2,49.8,"Lamone (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/80/CHE_Lamone_COA.svg/500px-CHE_Lamone_COA.svg.png"
5192,49.9,49.9,50.1,"Lugano (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/73/CHE_Lugano_COA.svg/960px-CHE_Lugano_COA.svg.png"
5193,95.7,95.7,4.3,"Magliaso (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f6/Magliaso-coat_of_arms.svg/500px-Magliaso-coat_of_arms.svg.png"
5194,37.4,37.4,62.6,"Manno (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/CHE_Manno_COA.svg/500px-CHE_Manno_COA.svg.png"
5196,42.9,42.9,57.1,"Massagno (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2a/Massagno-coat_of_arms.svg/500px-Massagno-coat_of_arms.svg.png"
5198,76.1,76.1,23.9,"Melide (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/36/CHE_Melide_COA.svg/500px-CHE_Melide_COA.svg.png"
5199,54.5,54.5,45.5,"Mezzovico-Vira (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_Mezzovico-Vira_COA.svg/500px-CHE_Mezzovico-Vira_COA.svg.png"
5203,29.9,29.9,70.1,"Morcote (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f8/CHE_Morcote_COA.svg/500px-CHE_Morcote_COA.svg.png"
5205,45.3,45.3,54.7,"Muzzano (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/CHE_Muzzano_COA.svg/500px-CHE_Muzzano_COA.svg.png"
5206,51.9,51.9,48.1,"Neggio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3f/Neggio-coat_of_arms.svg/500px-Neggio-coat_of_arms.svg.png"
5208,47.9,47.9,52.1,"Origlio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9c/Origlio-coat_of_arms.svg/500px-Origlio-coat_of_arms.svg.png"
5210,56.5,56.5,43.5,"Paradiso (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/75/CHE_Paradiso_COA.svg/500px-CHE_Paradiso_COA.svg.png"
5212,75.1,75.1,24.9,"Ponte Capriasca (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/PonteCapriasca-coat_of_arms.svg/500px-PonteCapriasca-coat_of_arms.svg.png"
5214,37.3,37.3,62.7,"Porza (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/CHE_Porza_COA.svg/500px-CHE_Porza_COA.svg.png"
5216,50.2,50.2,49.8,"Pura (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/Pura-coat_of_arms.svg/500px-Pura-coat_of_arms.svg.png"
5221,6,6,94,"Savosa (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/Savosa-coat_of_arms.svg/500px-Savosa-coat_of_arms.svg.png"
5225,58.1,58.1,41.9,"Sorengo (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/18/Sorengo-coat_of_arms.svg/500px-Sorengo-coat_of_arms.svg.png"
5226,49.7,49.7,50.3,"Capriasca (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/Capriasca-coat_of_arms.svg/500px-Capriasca-coat_of_arms.svg.png"
5227,45.7,45.7,54.3,"Torricella-Taverne (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/Torricella-Taverne-coat_of_arms.svg/500px-Torricella-Taverne-coat_of_arms.svg.png"
5230,54.6,54.6,45.4,"Vernate (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/CHE_Vernate_COA.svg/500px-CHE_Vernate_COA.svg.png"
5231,48.7,48.7,51.3,"Vezia (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e9/Vezia-coat_of_arms.svg/500px-Vezia-coat_of_arms.svg.png"
5233,18.6,18.6,81.4,"Vico Morcote (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/ba/VicoMorcote-coat_of_arms.svg/500px-VicoMorcote-coat_of_arms.svg.png"
5236,45.8,45.8,54.2,"Collina d'Oro (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/CHE_Collina_d%27Oro_COA.svg/500px-CHE_Collina_d%27Oro_COA.svg.png"
5237,49.3,49.3,50.7,"Alto Malcantone (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d0/CHE_Alto_Malcantone_COA.svg/500px-CHE_Alto_Malcantone_COA.svg.png"
5238,25.3,25.3,74.7,"Monteceneri (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/CHE_Monteceneri_COA.svg/500px-CHE_Monteceneri_COA.svg.png"
5239,77.3,77.3,22.7,"Tresa (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/CHE_Tresa_COA.svg/960px-CHE_Tresa_COA.svg.png"
5240,51.7,51.7,48.3,"Val Mara (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/CHE_Val_Mara_TI_COA.svg/500px-CHE_Val_Mara_TI_COA.svg.png"
5242,32.9,32.9,67.1,"Balerna (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/CHE_Balerna_COA.svg/500px-CHE_Balerna_COA.svg.png"
5249,39.1,39.1,60.9,"Castel San Pietro (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/66/CastelSanPietro-blason.svg/500px-CastelSanPietro-blason.svg.png"
5250,13.1,13.1,86.9,"Chiasso (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Chiasso-coat_of_arms.svg/500px-Chiasso-coat_of_arms.svg.png"
5251,37.1,37.1,62.9,"Coldrerio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/74/Coldrerio-coat_of_arms.svg/500px-Coldrerio-coat_of_arms.svg.png"
5254,55.4,55.4,44.6,"Mendrisio (TI)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3e/CHE_Mendrisio_COA.svg/960px-CHE_Mendrisio_COA.svg.png"
