"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
6002,83.1,83.1,16.9,"Brig-Glis VS","83,1 Prozent der Stimmbürgerinnen und Stimmbürger in Brig-Glis sagen Ja zur Ernährungsinitiative. Brig-Glis sagt Ja zur Ernährungsinitiative, im Kanton Wallis überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/CHE_Brig-Glis_COA.svg/500px-CHE_Brig-Glis_COA.svg.png"
6004,44.5,44.5,55.5,"Eggerberg VS","In Eggerberg wird die Ernährungsinitiative mit 55,5 Prozent abgelehnt. Sowohl Eggerberg als auch der Kanton Wallis verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/CHE_Eggerberg_COA.svg/500px-CHE_Eggerberg_COA.svg.png"
6007,43.6,43.6,56.4,"Naters VS","In Naters wird die Ernährungsinitiative mit 56,4 Prozent abgelehnt. Sowohl Naters als auch der Kanton Wallis verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Naters_COA.svg/500px-CHE_Naters_COA.svg.png"
6008,4,4,96,"Ried-Brig VS","In Ried-Brig hat die Ernährungsinitiative keine Mehrheit gefunden: 96 Prozent lehnen die Vorlage ab. Ried-Brig verzeichnet im Kanton Wallis den höchsten Nein-Anteil zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/CHE_Ried-Brig_COA.svg/500px-CHE_Ried-Brig_COA.svg.png"
6009,55.1,55.1,44.9,"Simplon VS","In Simplon wird die Ernährungsinitiative mit 55,1 Prozent angenommen. Simplon sagt Ja zur Ernährungsinitiative, im Kanton Wallis überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/CHE_Simplon_COA.svg/500px-CHE_Simplon_COA.svg.png"
6010,4.1,4.1,95.9,"Termen VS","Nein zur Ernährungsinitiative in Termen: 95,9 Prozent. Sowohl Termen als auch der Kanton Wallis verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/CHE_Termen_COA.svg/500px-CHE_Termen_COA.svg.png"
6011,24.7,24.7,75.3,"Zwischbergen VS","Mit 75,3 Prozent wird die Ernährungsinitiative in Zwischbergen verworfen. Sowohl Zwischbergen als auch der Kanton Wallis verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/CHE_Zwischbergen_COA.svg/500px-CHE_Zwischbergen_COA.svg.png"
6021,71.2,71.2,28.8,"Ardon VS","Die Ernährungsinitiative ist in Ardon mit 71,2 Prozent der Stimmen angenommen worden. Ardon sagt Ja zur Ernährungsinitiative, im Kanton Wallis überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/CHE_Ardon_COA.svg/500px-CHE_Ardon_COA.svg.png"
6022,61.1,61.1,38.9,"Chamoson VS","61,1 Prozent der Stimmbürgerinnen und Stimmbürger in Chamoson sagen Ja zur Ernährungsinitiative. Chamoson sagt Ja zur Ernährungsinitiative, im Kanton Wallis überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/CHE_Chamoson_COA.svg/500px-CHE_Chamoson_COA.svg.png"
6023,34.4,34.4,65.6,"Conthey VS","In Conthey hat die Ernährungsinitiative keine Mehrheit gefunden: 65,6 Prozent lehnen die Vorlage ab. Sowohl Conthey als auch der Kanton Wallis verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/31/CHE_Conthey_COA.svg/500px-CHE_Conthey_COA.svg.png"
