"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6601,78.9,78.9,21.1,"Aire-la-Ville (GE)","Avec 78,9 pour cent de oui, une majorité des électeurs d'Aire-la-Ville a validé le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton. Ce texte prévoit une coupe annuelle de 2 millions de francs dans le financement de l'établissement. Aire-la-Ville dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_Aire-la-Ville_COA.svg/960px-CHE_Aire-la-Ville_COA.svg.png"
6602,30.1,30.1,69.9,"Anières (GE)","Non à la coupe de 2 millions de francs par an dans le contrat de prestation 2025-2028 de la HES-SO Genève à Anières: le texte est rejeté par 69,9 pour cent des votants. Aussi bien Anières que le canton rejettent la baisse de 2 millions de francs par an prévue dans le contrat de prestation 2025-2028 entre la HES-SO Genève et l'Etat.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/CHE_Ani%C3%A8res_COA.svg/960px-CHE_Ani%C3%A8res_COA.svg.png"
6603,37,37,63,"Avully (GE)","A Avully, le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton n'a pas trouvé de majorité. Les habitants s'opposent à 63 pour cent à cette coupe annuelle de 2 millions de francs. Aussi bien Avully que le canton rejettent la baisse de 2 millions de francs par an prévue dans le contrat de prestation 2025-2028 entre la HES-SO Genève et l'Etat.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/CHE_Avully_COA.svg/960px-CHE_Avully_COA.svg.png"
6604,70.4,70.4,29.6,"Avusy (GE)","A Avusy, la loi approuvant le contrat de prestation 2025-2028 entre le canton et la HES-SO Genève récolte 70,4 pour cent d'approbation. Le texte entérine une baisse de 2 millions de francs par an de la subvention cantonale. Avusy dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/CHE_Avusy_COA.svg/960px-CHE_Avusy_COA.svg.png"
6605,50.8,50.8,49.2,"Bardonnex (GE)","Le projet de loi sur le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton a été accepté à Bardonnex avec 50,8 pour cent des voix. L'accord intègre une réduction budgétaire de 2 millions de francs par an. Bardonnex dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/15/CHE_Bardonnex_COA.svg/500px-CHE_Bardonnex_COA.svg.png"
6606,66.7,66.7,33.3,"Bellevue (GE)","Le projet de loi sur le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton a été accepté à Bellevue avec 66,7 pour cent des voix. L'accord intègre une réduction budgétaire de 2 millions de francs par an. Bellevue dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/09/CHE_Bellevue_COA.svg/960px-CHE_Bellevue_COA.svg.png"
6607,72.6,72.6,27.4,"Bernex (GE)","Le projet de loi sur le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton a été accepté à Bernex avec 72,6 pour cent des voix. L'accord intègre une réduction budgétaire de 2 millions de francs par an. Bernex dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/CHE_Bernex_COA.svg/960px-CHE_Bernex_COA.svg.png"
6608,80.8,80.8,19.2,"Carouge (GE)","Avec 80,8 pour cent de oui, une majorité des électeurs de Carouge (GE) a validé le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton. Ce texte prévoit une coupe annuelle de 2 millions de francs dans le financement de l'établissement. Carouge (GE) dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/CHE_Carouge_COA.svg/960px-CHE_Carouge_COA.svg.png"
6609,74.5,74.5,25.5,"Cartigny (GE)","A Cartigny, la loi approuvant le contrat de prestation 2025-2028 entre le canton et la HES-SO Genève récolte 74,5 pour cent d'approbation. Le texte entérine une baisse de 2 millions de francs par an de la subvention cantonale. Cartigny dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/CHE_Cartigny_COA.svg/960px-CHE_Cartigny_COA.svg.png"
6610,78.9,78.9,21.1,"Céligny (GE)","Avec 78,9 pour cent de oui, une majorité des électeurs de Céligny a validé le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton. Ce texte prévoit une coupe annuelle de 2 millions de francs dans le financement de l'établissement. Céligny dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/CHE_C%C3%A9ligny_COA.svg/960px-CHE_C%C3%A9ligny_COA.svg.png"
6611,68.3,68.3,31.7,"Chancy (GE)","Avec 68,3 pour cent de oui, une majorité des électeurs de Chancy a validé le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton. Ce texte prévoit une coupe annuelle de 2 millions de francs dans le financement de l'établissement. Chancy dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/CHE_Chancy_COA.svg/960px-CHE_Chancy_COA.svg.png"
6612,50.7,50.7,49.3,"Chêne-Bougeries (GE)","Avec 50,7 pour cent de oui, une majorité des électeurs de Chêne-Bougeries a validé le contrat de prestation 2025-2028 entre la HES-SO Genève et le canton. Ce texte prévoit une coupe annuelle de 2 millions de francs dans le financement de l'établissement. Chêne-Bougeries dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/CHE_Ch%C3%AAne-Bougeries_COA.svg/500px-CHE_Ch%C3%AAne-Bougeries_COA.svg.png"
6613,17.7,17.7,82.3,"Chêne-Bourg (GE)","Non à la coupe de 2 millions de francs par an dans le contrat de prestation 2025-2028 de la HES-SO Genève à Chêne-Bourg: le texte est rejeté par 82,3 pour cent des votants. Aussi bien Chêne-Bourg que le canton rejettent la baisse de 2 millions de francs par an prévue dans le contrat de prestation 2025-2028 entre la HES-SO Genève et l'Etat.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/CHE_Ch%C3%AAne-Bourg_COA.svg/960px-CHE_Ch%C3%AAne-Bourg_COA.svg.png"
6614,59.2,59.2,40.8,"Choulex (GE)","A Choulex, la loi approuvant le contrat de prestation 2025-2028 entre le canton et la HES-SO Genève récolte 59,2 pour cent d'approbation. Le texte entérine une baisse de 2 millions de francs par an de la subvention cantonale. Choulex dit oui à la coupe annuelle de 2 millions de francs dans le contrat de prestation 2025-2028 de la HES-SO Genève, mais le non l'emporte à l'échelle cantonale.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/CHE_Choulex_COA.svg/960px-CHE_Choulex_COA.svg.png"
