"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1,91.5,91.5,8.5,"Aeugst am Albis ZH","Die Ernährungsinitiative ist in Aeugst am Albis mit 91,5 Prozent der Stimmen angenommen worden. Aeugst am Albis sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,41.3,41.3,58.7,"Affoltern am Albis ZH","In Affoltern am Albis findet die Ernährungsinitiative mit 58,7 Prozent keine Mehrheit. Sowohl Affoltern am Albis als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,47.1,47.1,52.9,"Bonstetten ZH","In Bonstetten findet die Ernährungsinitiative mit 52,9 Prozent keine Mehrheit. Sowohl Bonstetten als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,11.3,11.3,88.7,"Hausen am Albis ZH","In Hausen am Albis hat die Ernährungsinitiative keine Mehrheit gefunden: 88,7 Prozent lehnen die Vorlage ab. Sowohl Hausen am Albis als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,52.6,52.6,47.4,"Hedingen ZH","Die Ernährungsinitiative ist in Hedingen mit 52,6 Prozent der Stimmen angenommen worden. Hedingen sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,63.7,63.7,36.3,"Kappel am Albis ZH","63,7 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis sagen Ja zur Ernährungsinitiative. Kappel am Albis sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,73.2,73.2,26.8,"Knonau ZH","Die Ernährungsinitiative ist in Knonau mit 73,2 Prozent der Stimmen angenommen worden. Knonau sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,87.2,87.2,12.8,"Maschwanden ZH","Maschwanden hat die Ernährungsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 87,2 Prozent. Maschwanden sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,28.2,28.2,71.8,"Mettmenstetten ZH","In Mettmenstetten hat die Ernährungsinitiative keine Mehrheit gefunden: 71,8 Prozent lehnen die Vorlage ab. Sowohl Mettmenstetten als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,41.2,41.2,58.8,"Obfelden ZH","In Obfelden hat die Ernährungsinitiative keine Mehrheit gefunden: 58,8 Prozent lehnen die Vorlage ab. Sowohl Obfelden als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
