"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
4001,78.4,78.4,21.6,"Aarau AG","Aarau hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 78,4 Prozent. Aarau sagt wie der Kanton Aargau Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e9/CHE_Aarau_corporate_design_COA.svg/960px-CHE_Aarau_corporate_design_COA.svg.png"
4002,67.8,67.8,32.2,"Biberstein AG","Ja zur Neutralitätsinitiative in Biberstein: 67,8 Prozent. Biberstein sagt wie der Kanton Aargau Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/CHE_Biberstein_COA.svg/330px-CHE_Biberstein_COA.svg.png"
4003,59.9,59.9,40.1,"Buchs AG","In Buchs AG ist die Neutralitätsinitiative mit 59,9 Prozent der Stimmen angenommen worden. Buchs AG sagt wie der Kanton Aargau Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/Wappen_Buchs_AG.svg/330px-Wappen_Buchs_AG.svg.png"
4004,35.7,35.7,64.3,"Densbüren AG","64,3 Prozent der Stimmbürgerinnen und Stimmbürger von Densbüren haben die Neutralitätsinitiative abgelehnt. Abweichung: Densbüren verwirft die Neutralitätsinitiative, der Kanton Aargau stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b2/Wappen_Densb%C3%BCren.svg/330px-Wappen_Densb%C3%BCren.svg.png"
4005,47.1,47.1,52.9,"Erlinsbach AG","52,9 Prozent der Stimmbürgerinnen und Stimmbürger von Erlinsbach AG sprechen sich gegen die Neutralitätsinitiative aus. Abweichung: Erlinsbach AG verwirft die Neutralitätsinitiative, der Kanton Aargau stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d2/CHE_Erlinsbach_AG_COA.svg/330px-CHE_Erlinsbach_AG_COA.svg.png"
4006,58.4,58.4,41.6,"Gränichen AG","Gränichen stimmt der Neutralitätsinitiative mit 58,4 Prozent zu. Gränichen sagt wie der Kanton Aargau Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/93/CHE_Gr%C3%A4nichen_AG_COA.svg/330px-CHE_Gr%C3%A4nichen_AG_COA.svg.png"
4007,47.8,47.8,52.2,"Hirschthal AG","52,2 Prozent der Stimmbürgerinnen und Stimmbürger von Hirschthal haben die Neutralitätsinitiative abgelehnt. Abweichung: Hirschthal verwirft die Neutralitätsinitiative, der Kanton Aargau stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Wappen_Hirschthal_AG.svg/330px-Wappen_Hirschthal_AG.svg.png"
4008,44,44,56,"Küttigen AG","Mit 56 Prozent wird die Neutralitätsinitiative in Küttigen verworfen. Abweichung: Küttigen verwirft die Neutralitätsinitiative, der Kanton Aargau stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_K%C3%BCttigen_COA.svg/330px-CHE_K%C3%BCttigen_COA.svg.png"
4009,56.6,56.6,43.4,"Muhen AG","Muhen stimmt der Neutralitätsinitiative mit 56,6 Prozent zu. Muhen sagt wie der Kanton Aargau Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/06/Wappen_Muhen_AG.svg/330px-Wappen_Muhen_AG.svg.png"
4010,85.4,85.4,14.6,"Oberentfelden AG","Die Neutralitätsinitiative erreicht in Oberentfelden 85,4 Prozent Ja-Stimmen. Oberentfelden sagt wie der Kanton Aargau Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/Wappen_Oberentfelden_AG.svg/330px-Wappen_Oberentfelden_AG.svg.png"
