"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6601,47,47,53,"Aire-la-Ville (GE)","L'initiative sur la neutralité est refusée à 53 pour cent à Aire-la-Ville. Aire-la-Ville a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_Aire-la-Ville_COA.svg/960px-CHE_Aire-la-Ville_COA.svg.png"
6602,65.5,65.5,34.5,"Anières (GE)","L'initiative sur la neutralité est approuvée à Anières par 65,5 pour cent des votants. Anières a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/CHE_Ani%C3%A8res_COA.svg/960px-CHE_Ani%C3%A8res_COA.svg.png"
6603,58.3,58.3,41.7,"Avully (GE)","Avully dit oui à 58,3 pour cent à l'initiative sur la neutralité. Avully a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/CHE_Avully_COA.svg/960px-CHE_Avully_COA.svg.png"
6604,63.9,63.9,36.1,"Avusy (GE)","A Avusy, les habitants disent oui à 63,9 pour cent à l'initiative sur la neutralité. Avusy a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/CHE_Avusy_COA.svg/960px-CHE_Avusy_COA.svg.png"
6605,70.1,70.1,29.9,"Bardonnex (GE)","L'initiative sur la neutralité passe la rampe avec 70,1 pour cent de oui à Bardonnex. Bardonnex a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/15/CHE_Bardonnex_COA.svg/500px-CHE_Bardonnex_COA.svg.png"
6606,44.6,44.6,55.4,"Bellevue (GE)","Les habitants de Bellevue s'opposent à l'initiative sur la neutralité par 55,4 pour cent des voix. Bellevue a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/09/CHE_Bellevue_COA.svg/960px-CHE_Bellevue_COA.svg.png"
6607,60.8,60.8,39.2,"Bernex (GE)","Bernex dit oui à 60,8 pour cent à l'initiative sur la neutralité. Bernex a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/CHE_Bernex_COA.svg/960px-CHE_Bernex_COA.svg.png"
6608,46.5,46.5,53.5,"Carouge (GE)","L'initiative sur la neutralité n'a pas convaincu à Carouge (GE). Les citoyens de la commune ont refusé le texte à 53,5 pour cent. Carouge (GE) a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/CHE_Carouge_COA.svg/960px-CHE_Carouge_COA.svg.png"
6609,73.6,73.6,26.4,"Cartigny (GE)","Les habitants de Cartigny soutiennent à 73,6 pour cent l'initiative sur la neutralité. Cartigny a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/CHE_Cartigny_COA.svg/960px-CHE_Cartigny_COA.svg.png"
6610,96.5,96.5,3.5,"Céligny (GE)","L'initiative sur la neutralité est approuvée à Céligny par 96,5 pour cent des votants. L'initiative a récolté le plus grand pourcentage de oui du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/CHE_C%C3%A9ligny_COA.svg/960px-CHE_C%C3%A9ligny_COA.svg.png"
6611,43.1,43.1,56.9,"Chancy (GE)","L'initiative sur la neutralité n'a pas convaincu à Chancy. Les citoyens de la commune ont refusé le texte à 56,9 pour cent. Chancy a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/CHE_Chancy_COA.svg/960px-CHE_Chancy_COA.svg.png"
6612,68.6,68.6,31.4,"Chêne-Bougeries (GE)","La population de Chêne-Bougeries approuve à 68,6 pour cent l'initiative sur la neutralité. Chêne-Bougeries a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/CHE_Ch%C3%AAne-Bougeries_COA.svg/500px-CHE_Ch%C3%AAne-Bougeries_COA.svg.png"
6613,84.9,84.9,15.1,"Chêne-Bourg (GE)","La population de Chêne-Bourg approuve à 84,9 pour cent l'initiative sur la neutralité. Chêne-Bourg a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/CHE_Ch%C3%AAne-Bourg_COA.svg/960px-CHE_Ch%C3%AAne-Bourg_COA.svg.png"
6614,69.2,69.2,30.8,"Choulex (GE)","L'initiative sur la neutralité est approuvée à Choulex par 69,2 pour cent des votants. Choulex a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/CHE_Choulex_COA.svg/960px-CHE_Choulex_COA.svg.png"
6615,58.4,58.4,41.6,"Collex-Bossy (GE)","A Collex-Bossy, les habitants disent oui à 58,4 pour cent à l'initiative sur la neutralité. Collex-Bossy a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/CHE_Collex-Bossy_COA.svg/960px-CHE_Collex-Bossy_COA.svg.png"
6616,31.8,31.8,68.2,"Collonge-Bellerive (GE)","La population de Collonge-Bellerive rejette à 68,2 pour cent des voix l'initiative sur la neutralité. Collonge-Bellerive a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f6/CHE_Collonge-Bellerive_COA.svg/960px-CHE_Collonge-Bellerive_COA.svg.png"
6617,46.1,46.1,53.9,"Cologny (GE)","A Cologny, les citoyens rejettent à 53,9 pour cent l'initiative sur la neutralité. Cologny a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/CHE_Cologny_COA.svg/960px-CHE_Cologny_COA.svg.png"
6618,48.8,48.8,51.2,"Confignon (GE)","La population de Confignon rejette à 51,2 pour cent des voix l'initiative sur la neutralité. Confignon a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Confignon_COA.svg/960px-CHE_Confignon_COA.svg.png"
6619,48.9,48.9,51.1,"Corsier (GE)","Les habitants de Corsier (GE) s'opposent à l'initiative sur la neutralité par 51,1 pour cent des voix. Corsier (GE) a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3c/CHE_Corsier_COA.svg/960px-CHE_Corsier_COA.svg.png"
6620,56.4,56.4,43.6,"Dardagny (GE)","Dardagny dit oui à 56,4 pour cent à l'initiative sur la neutralité. Dardagny a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/26/CHE_Dardagny_COA.svg/960px-CHE_Dardagny_COA.svg.png"
6621,58.2,58.2,41.8,"Genève (GE)","Les habitants de Genève acceptent à 58,2 pour cent l'initiative sur la neutralité. Genève a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/CHE_Gen%C3%A8ve_COA.svg/960px-CHE_Gen%C3%A8ve_COA.svg.png"
6622,38.3,38.3,61.7,"Genthod (GE)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de Genthod. Ils ont refusé le texte à 61,7 pour cent. Genthod a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/CHE_Genthod_COA.svg/960px-CHE_Genthod_COA.svg.png"
