"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
3506,72.7,72.7,27.3,"Vaz/Obervaz (GR)","A Vaz/Obervaz l'Iniziativa sulla neutralità è stata approvata con il 72,7 per cento. Vaz/Obervaz dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/25/CHE_Vaz-Obervaz_COA.svg/250px-CHE_Vaz-Obervaz_COA.svg.png"
3513,53.8,53.8,46.2,"Lantsch/Lenz (GR)","Sì all'Iniziativa sulla neutralità a Lantsch/Lenz con il 53,8 per cento. Lantsch/Lenz dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d1/CHE_Lantsch-Lenz_COA.svg/250px-CHE_Lantsch-Lenz_COA.svg.png"
3514,98.3,98.3,1.7,"Schmitten (GR)","A Schmitten GR l'Iniziativa sulla neutralità è stata approvata con il 98,3 per cento. Schmitten GR dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/CHE_Schmitten_GR_COA.svg/250px-CHE_Schmitten_GR_COA.svg.png"
3542,51.1,51.1,48.9,"Albula/Alvra (GR)","La popolazione di Albula/Alvra approva l'Iniziativa sulla neutralità con il 51,1 per cento. Albula/Alvra dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/CHE_Albula-Alvra_COA.svg/250px-CHE_Albula-Alvra_COA.svg.png"
3543,36.8,36.8,63.2,"Surses (GR)","A Surses l'Iniziativa sulla neutralità non ottiene la maggioranza: 63,2 per cento di no. Sia Surses che il cantone Grigioni hanno bocciato l'Iniziativa sulla neutralità.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7e/CHE_Surses_COA.svg/250px-CHE_Surses_COA.svg.png"
3544,39.7,39.7,60.3,"Bergün Filisur (GR)","A Bergün Filisur l'Iniziativa sulla neutralità non ottiene la maggioranza: 60,3 per cento di no. Sia Bergün Filisur che il cantone Grigioni hanno bocciato l'Iniziativa sulla neutralità.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Berg%C3%BCn_Filisur_COA.svg/250px-CHE_Berg%C3%BCn_Filisur_COA.svg.png"
3551,47.6,47.6,52.4,"Brusio (GR)","A Brusio l'Iniziativa sulla neutralità è stata respinta con il 52,4 per cento. Sia Brusio che il cantone Grigioni hanno bocciato l'Iniziativa sulla neutralità.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/CHE_Brusio_COA.svg/250px-CHE_Brusio_COA.svg.png"
3561,58,58,42,"Poschiavo (GR)","Sì all'Iniziativa sulla neutralità a Poschiavo, con il 58 per cento di voti favorevoli. Poschiavo dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/CHE_Poschiavo_COA.svg/250px-CHE_Poschiavo_COA.svg.png"
3572,58.7,58.7,41.3,"Falera (GR)","Sì all'Iniziativa sulla neutralità a Falera, con il 58,7 per cento di voti favorevoli. Falera dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c0/CHE_Falera_COA.svg/250px-CHE_Falera_COA.svg.png"
3575,57,57,43,"Laax (GR)","A Laax, l'Iniziativa sulla neutralità è approvata con il 57 per cento. Laax dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d2/CHE_Laax_COA.svg/250px-CHE_Laax_COA.svg.png"
3581,51.5,51.5,48.5,"Sagogn (GR)","Sì all'Iniziativa sulla neutralità a Sagogn con il 51,5 per cento. Sagogn dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e9/CHE_Sagogn_COA.svg/250px-CHE_Sagogn_COA.svg.png"
3582,48.4,48.4,51.6,"Schluein (GR)","La popolazione di Schluein respinge l'Iniziativa sulla neutralità con il 51,6 per cento. Sia Schluein che il cantone Grigioni hanno bocciato l'Iniziativa sulla neutralità.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/CHE_Schluein_COA.svg/250px-CHE_Schluein_COA.svg.png"
3603,48.9,48.9,51.1,"Vals (GR)","A Vals l'Iniziativa sulla neutralità non ottiene la maggioranza: 51,1 per cento di no. Sia Vals che il cantone Grigioni hanno bocciato l'Iniziativa sulla neutralità.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/CHE_Vals_COA.svg/960px-CHE_Vals_COA.svg.png"
3618,6.3,6.3,93.7,"Lumnezia (GR)","A Lumnezia l'Iniziativa sulla neutralità è stata respinta con il 93,7 per cento. Sia Lumnezia che il cantone Grigioni hanno bocciato l'Iniziativa sulla neutralità.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9a/CHE_Lumnezia_COA.svg/250px-CHE_Lumnezia_COA.svg.png"
3619,67.9,67.9,32.1,"Ilanz/Glion (GR)","A Ilanz/Glion, l'Iniziativa sulla neutralità è approvata con il 67,9 per cento. Ilanz/Glion dice sì all'Iniziativa sulla neutralità, il cantone Grigioni dice no.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/CHE_Ilanz-Glion_COA.svg/250px-CHE_Ilanz-Glion_COA.svg.png"
3633,49.6,49.6,50.4,"Fürstenau (GR)","La popolazione di Fürstenau respinge l'Iniziativa sulla neutralità con il 50,4 per cento. Sia Fürstenau che il cantone Grigioni hanno bocciato l'Iniziativa sulla neutralità.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/CHE_F%C3%BCrstenau_COA.svg/960px-CHE_F%C3%BCrstenau_COA.svg.png"
