"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1501,42,42,58,"Beckenried NW","Nein zur Ernährungsinitiative in Beckenried: 58 Prozent. Beckenried lehnt die Ernährungsinitiative ab, der Kanton Nidwalden nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0d/CHE_Beckenried_COA.svg/960px-CHE_Beckenried_COA.svg.png"
1502,88.4,88.4,11.6,"Buochs NW","In Buochs ist die Ernährungsinitiative mit 88,4 Prozent der Stimmen angenommen worden. Im Kanton Nidwalden liegt Buochs beim Ja-Anteil zur Ernährungsinitiative an der Spitze.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8c/CHE_Buochs_COA.svg/960px-CHE_Buochs_COA.svg.png"
1503,47.9,47.9,52.1,"Dallenwil NW","In Dallenwil wird die Ernährungsinitiative mit 52,1 Prozent abgelehnt. Dallenwil lehnt die Ernährungsinitiative ab, der Kanton Nidwalden nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/CHE_Dallenwil_COA.svg/500px-CHE_Dallenwil_COA.svg.png"
1504,70.1,70.1,29.9,"Emmetten NW","Die Ernährungsinitiative ist in Emmetten mit 70,1 Prozent der Stimmen angenommen worden. Emmetten und der Kanton Nidwalden sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Emmetten_COA.svg/960px-CHE_Emmetten_COA.svg.png"
1505,35.1,35.1,64.9,"Ennetbürgen NW","Nein zur Ernährungsinitiative in Ennetbürgen: 64,9 Prozent. Ennetbürgen lehnt die Ernährungsinitiative ab, der Kanton Nidwalden nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Ennetburgen_COA.svg/960px-CHE_Ennetburgen_COA.svg.png"
1506,49.7,49.7,50.3,"Ennetmoos NW","Nein zur Ernährungsinitiative in Ennetmoos: 50,3 Prozent. Ennetmoos lehnt die Ernährungsinitiative ab, der Kanton Nidwalden nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c2/CHE_Ennetmoos_COA.svg/960px-CHE_Ennetmoos_COA.svg.png"
1507,38.8,38.8,61.2,"Hergiswil NW","In Hergiswil NW wird die Ernährungsinitiative mit 61,2 Prozent abgelehnt. Hergiswil NW lehnt die Ernährungsinitiative ab, der Kanton Nidwalden nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hergiswil_COA.svg/960px-CHE_Hergiswil_COA.svg.png"
1508,28.8,28.8,71.2,"Oberdorf NW","In Oberdorf NW findet die Ernährungsinitiative mit 71,2 Prozent keine Mehrheit. Oberdorf NW lehnt die Ernährungsinitiative ab, der Kanton Nidwalden nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8c/CHE_Oberdorf_NW_COA.svg/960px-CHE_Oberdorf_NW_COA.svg.png"
1509,46,46,54,"Stans NW","Nein zur Ernährungsinitiative in Stans: 54 Prozent. Stans lehnt die Ernährungsinitiative ab, der Kanton Nidwalden nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/95/CHE_Stans_COA.svg/960px-CHE_Stans_COA.svg.png"
1510,6.6,6.6,93.4,"Stansstad NW","In Stansstad findet die Ernährungsinitiative mit 93,4 Prozent keine Mehrheit. Stansstad verzeichnet im Kanton Nidwalden den höchsten Nein-Anteil zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/CHE_Stansstad_COA.svg/960px-CHE_Stansstad_COA.svg.png"
1511,50.2,50.2,49.8,"Wolfenschiessen NW","Wolfenschiessen hat die Ernährungsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 50,2 Prozent. Wolfenschiessen und der Kanton Nidwalden sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6b/CHE_Wolfenschiessen_COA.svg/960px-CHE_Wolfenschiessen_COA.svg.png"
