"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6702,54.9,54.9,45.1,"Boécourt (JU)","A Boécourt, les habitants disent oui à 54,9 pour cent à l'initiative ""pour une alimentation sûre"". Boécourt a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6b/CHE_Bo%C3%A9court_COA.svg/960px-CHE_Bo%C3%A9court_COA.svg.png"
6703,77.5,77.5,22.5,"Bourrignon (JU)","Bourrignon dit oui à 77,5 pour cent à l'initiative ""pour une alimentation sûre"". Bourrignon a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ca/Bourrignon-blazon.svg/250px-Bourrignon-blazon.svg.png"
6704,50.7,50.7,49.3,"Châtillon (JU)","La population de Châtillon (JU) approuve à 50,7 pour cent l'initiative ""pour une alimentation sûre"". Châtillon (JU) a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/CHE_Ch%C3%A2tillon_COA.svg/250px-CHE_Ch%C3%A2tillon_COA.svg.png"
6706,4.6,4.6,95.4,"Courchapoix (JU)","A Courchapoix, les citoyens rejettent à 95,4 pour cent l'initiative ""pour une alimentation sûre"". Courchapoix a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/CHE_Courchapoix_COA.svg/960px-CHE_Courchapoix_COA.svg.png"
6708,24.1,24.1,75.9,"Courrendlin (JU)","L'initiative ""pour une alimentation sûre"" est refusée à 75,9 pour cent à Courrendlin. Courrendlin a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9f/CHE_Courrendlin_COA.svg/960px-CHE_Courrendlin_COA.svg.png"
6709,56.3,56.3,43.7,"Courroux (JU)","L'initiative ""pour une alimentation sûre"" est approuvée à Courroux par 56,3 pour cent des votants. Courroux a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/Courroux-blazon.svg/250px-Courroux-blazon.svg.png"
6710,67.5,67.5,32.5,"Courtételle (JU)","L'initiative ""pour une alimentation sûre"" est approuvée à Courtételle par 67,5 pour cent des votants. Courtételle a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/CH_Courtetelle_COA.svg/500px-CH_Courtetelle_COA.svg.png"
6711,67.3,67.3,32.7,"Delémont (JU)","La population de Delémont approuve à 67,3 pour cent l'initiative ""pour une alimentation sûre"". Delémont a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/26/CHE_Del%C3%A9mont_COA.svg/500px-CHE_Del%C3%A9mont_COA.svg.png"
6712,84,84,16,"Develier (JU)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 84 pour cent de oui à Develier. Develier a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/25/CHE_Develier_COA.svg/960px-CHE_Develier_COA.svg.png"
6713,59.9,59.9,40.1,"Ederswiler (JU)","Ederswiler dit oui à 59,9 pour cent à l'initiative ""pour une alimentation sûre"". Ederswiler a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/db/CHE_Ederswiler_COA.svg/960px-CHE_Ederswiler_COA.svg.png"
6715,6.9,6.9,93.1,"Mervelier (JU)","L'initiative ""pour une alimentation sûre"" n'a pas convaincu à Mervelier. Les citoyens de la commune ont refusé le texte à 93,1 pour cent. Mervelier a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/CHE_Mervelier_COA.svg/960px-CHE_Mervelier_COA.svg.png"
6716,43,43,57,"Mettembert (JU)","Les habitants de Mettembert s'opposent à l'initiative ""pour une alimentation sûre"" par 57 pour cent des voix. Mettembert a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8c/CHE_Mettembert_COA.svg/500px-CHE_Mettembert_COA.svg.png"
6718,8.8,8.8,91.2,"Movelier (JU)","C'est non à l'initiative ""pour une alimentation sûre"" à Movelier. Les habitants ont refusé le texte à 91,2 pour cent. Movelier a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/CHE_Movelier_COA.svg/960px-CHE_Movelier_COA.svg.png"
6719,49,49,51,"Pleigne (JU)","C'est non à l'initiative ""pour une alimentation sûre"" à Pleigne. Les habitants ont refusé le texte à 51 pour cent. Pleigne a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/CHE_Pleigne_COA.svg/500px-CHE_Pleigne_COA.svg.png"
6721,61.8,61.8,38.2,"Rossemaison (JU)","Rossemaison dit oui à 61,8 pour cent à l'initiative ""pour une alimentation sûre"". Rossemaison a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d4/CHE_Rossemaison_COA.svg/960px-CHE_Rossemaison_COA.svg.png"
6722,84.4,84.4,15.6,"Saulcy (JU)","A Saulcy, les habitants disent oui à 84,4 pour cent à l'initiative ""pour une alimentation sûre"". Saulcy a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/CHE_Saulcy_COA.svg/960px-CHE_Saulcy_COA.svg.png"
