"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6601,62.6,62.6,37.4,"Aire-la-Ville (GE)","Avec 62,6 pour cent de oui, une majorité des électeurs d'Aire-la-Ville a accepté l'initiative du PS ""Pour une contraception gratuite"". Tout comme le canton, Aire-la-Ville approuve l'initiative du PS ""Pour une contraception gratuite"".","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_Aire-la-Ville_COA.svg/960px-CHE_Aire-la-Ville_COA.svg.png"
6602,57,57,43,"Anières (GE)","Avec 57 pour cent de oui, une majorité des électeurs d'Anières a accepté l'initiative du PS ""Pour une contraception gratuite"". Tout comme le canton, Anières approuve l'initiative du PS ""Pour une contraception gratuite"".","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/CHE_Ani%C3%A8res_COA.svg/960px-CHE_Ani%C3%A8res_COA.svg.png"
6603,43.7,43.7,56.3,"Avully (GE)","A Avully, l'initiative du PS ""Pour une contraception gratuite"" n'a pas trouvé de majorité: 56,3 pour cent rejettent le texte. Avully rejette l'initiative du PS ""Pour une contraception gratuite"", alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/CHE_Avully_COA.svg/960px-CHE_Avully_COA.svg.png"
6604,44,44,56,"Avusy (GE)","A Avusy, le projet d'initiative du PS ""Pour une contraception gratuite"" ne réunit pas de majorité, avec 56 pour cent de non. Avusy rejette l'initiative du PS ""Pour une contraception gratuite"", alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/CHE_Avusy_COA.svg/960px-CHE_Avusy_COA.svg.png"
6605,48.8,48.8,51.2,"Bardonnex (GE)","A Bardonnex, l'initiative du PS ""Pour une contraception gratuite"" n'a pas trouvé de majorité: 51,2 pour cent rejettent le texte. Bardonnex rejette l'initiative du PS ""Pour une contraception gratuite"", alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/15/CHE_Bardonnex_COA.svg/500px-CHE_Bardonnex_COA.svg.png"
6606,48.2,48.2,51.8,"Bellevue (GE)","A Bellevue, l'initiative du PS ""Pour une contraception gratuite"" n'a pas trouvé de majorité: 51,8 pour cent rejettent le texte. Bellevue rejette l'initiative du PS ""Pour une contraception gratuite"", alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/09/CHE_Bellevue_COA.svg/960px-CHE_Bellevue_COA.svg.png"
6607,89.9,89.9,10.1,"Bernex (GE)","Le projet de l'initiative du PS ""Pour une contraception gratuite"" a été accepté à Bernex avec 89,9 pour cent des voix. Tout comme le canton, Bernex approuve l'initiative du PS ""Pour une contraception gratuite"".","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/CHE_Bernex_COA.svg/960px-CHE_Bernex_COA.svg.png"
6608,35.2,35.2,64.8,"Carouge (GE)","Non à l'initiative du PS ""Pour une contraception gratuite"" à Carouge (GE): le texte est rejeté par 64,8 pour cent des votants. Carouge (GE) rejette l'initiative du PS ""Pour une contraception gratuite"", alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/CHE_Carouge_COA.svg/960px-CHE_Carouge_COA.svg.png"
6609,52.3,52.3,47.7,"Cartigny (GE)","A Cartigny, l'initiative du PS ""Pour une contraception gratuite"" récolte 52,3 pour cent d'approbation. Tout comme le canton, Cartigny approuve l'initiative du PS ""Pour une contraception gratuite"".","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/CHE_Cartigny_COA.svg/960px-CHE_Cartigny_COA.svg.png"
6610,47.1,47.1,52.9,"Céligny (GE)","Non à l'initiative du PS ""Pour une contraception gratuite"" à Céligny: le texte est rejeté par 52,9 pour cent des votants. Céligny rejette l'initiative du PS ""Pour une contraception gratuite"", alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/CHE_C%C3%A9ligny_COA.svg/960px-CHE_C%C3%A9ligny_COA.svg.png"
