"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
1001,9.7,9.7,90.3,"Doppleschwand (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/CHE_Doppleschwand_COA.svg/960px-CHE_Doppleschwand_COA.svg.png"
1002,58.5,58.5,41.5,"Entlebuch (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/CHE_Entlebuch_COA.svg/960px-CHE_Entlebuch_COA.svg.png"
1004,82,82,18,"Flühli (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/CHE_Fluehli_COA.svg/960px-CHE_Fluehli_COA.svg.png"
1005,20.8,20.8,79.2,"Hasle (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/CHE_Hasle_LU_COA.svg/960px-CHE_Hasle_LU_COA.svg.png"
1007,83.2,83.2,16.8,"Romoos (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/CHE_Romoos_COA.svg/960px-CHE_Romoos_COA.svg.png"
1008,76.3,76.3,23.7,"Schüpfheim (LU)",,"https://upload.wikimedia.org/wikipedia/commons/7/75/CHE_Schuepfheim_COA.png"
1009,55,55,45,"Werthenstein (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/CHE_Werthenstein_COA.svg/960px-CHE_Werthenstein_COA.svg.png"
1010,26.2,26.2,73.8,"Escholzmatt-Marbach (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/2/25/CHE_Escholzmatt-Marbach_COA.svg/960px-CHE_Escholzmatt-Marbach_COA.svg.png"
1021,45.6,45.6,54.4,"Aesch (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/CHE_Aesch_LU_COA.svg/960px-CHE_Aesch_LU_COA.svg.png"
1023,15.9,15.9,84.1,"Ballwil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/CHE_Ballwil_COA.svg/960px-CHE_Ballwil_COA.svg.png"
1024,23.7,23.7,76.3,"Emmen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/CHE_Emmen_COA.svg/960px-CHE_Emmen_COA.svg.png"
1025,59.4,59.4,40.6,"Ermensee (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/CHE_Ermensee_COA.svg/960px-CHE_Ermensee_COA.svg.png"
1026,93.2,93.2,6.8,"Eschenbach (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4a/CHE_Eschenbach_LU_COA.svg/960px-CHE_Eschenbach_LU_COA.svg.png"
1030,82.6,82.6,17.4,"Hitzkirch (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Coat_of_arms_of_Hitzkirch.svg/960px-Coat_of_arms_of_Hitzkirch.svg.png"
1031,99.9,99.9,0.1,"Hochdorf (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Hochdorf_COA.svg/960px-CHE_Hochdorf_COA.svg.png"
1032,32.3,32.3,67.7,"Hohenrain (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Hohenrain_COA.svg/960px-CHE_Hohenrain_COA.svg.png"
1033,48.1,48.1,51.9,"Inwil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/Coat_of_arms_of_Inwil_LU.svg/960px-Coat_of_arms_of_Inwil_LU.svg.png"
1037,54,54,46,"Rain (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/Coat_of_arms_of_Rain_LU.svg/960px-Coat_of_arms_of_Rain_LU.svg.png"
1039,49.1,49.1,50.9,"Römerswil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/CHE_R%C3%B6merswil_COA.svg/960px-CHE_R%C3%B6merswil_COA.svg.png"
1040,63,63,37,"Rothenburg (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/CHE_Rothenburg_COA.svg/960px-CHE_Rothenburg_COA.svg.png"
1041,69,69,31,"Schongau (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/CHE_Schongau_COA.svg/960px-CHE_Schongau_COA.svg.png"
1051,28.4,28.4,71.6,"Adligenswil (LU)",,"https://upload.wikimedia.org/wikipedia/commons/b/bc/CHE_Adligenswil_COA.png"
1052,47.7,47.7,52.3,"Buchrain (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d1/CHE_Buchrain_COA.svg/960px-CHE_Buchrain_COA.svg.png"
1053,42.5,42.5,57.5,"Dierikon (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/CHE_Dierikon_COA.svg/960px-CHE_Dierikon_COA.svg.png"
1054,60.1,60.1,39.9,"Ebikon (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/CHE_Ebikon_COA.svg/960px-CHE_Ebikon_COA.svg.png"
1055,56.9,56.9,43.1,"Gisikon (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fb/CHE_Gisikon_COA.svg/960px-CHE_Gisikon_COA.svg.png"
1056,55.3,55.3,44.7,"Greppen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9d/Coat_of_arms_of_Greppen.svg/960px-Coat_of_arms_of_Greppen.svg.png"
1058,27,27,73,"Horw (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/CHE_Horw_COA_2025.svg/960px-CHE_Horw_COA_2025.svg.png"
1059,40.8,40.8,59.2,"Kriens (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/CHE_Kriens_COA.svg/960px-CHE_Kriens_COA.svg.png"
1061,48.3,48.3,51.7,"Lucerna (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/da/CHE_Stadt_Luzern_COA.gif/960px-CHE_Stadt_Luzern_COA.gif"
1062,19.1,19.1,80.9,"Malters (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d1/Coat_of_arms_of_Malters.svg/960px-Coat_of_arms_of_Malters.svg.png"
1063,11.3,11.3,88.7,"Meggen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/CHE_Meggen_COA.svg/960px-CHE_Meggen_COA.svg.png"
1064,11.5,11.5,88.5,"Meierskappel (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/CHE_Meierskappel_COA.svg/960px-CHE_Meierskappel_COA.svg.png"
1065,90.6,90.6,9.4,"Root (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/df/CHE_Root_COA2.svg/500px-CHE_Root_COA2.svg.png"
1066,71.2,71.2,28.8,"Schwarzenberg (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cb/Coat_of_arms_of_Schwarzenberg_LU.svg/960px-Coat_of_arms_of_Schwarzenberg_LU.svg.png"
1067,3.9,3.9,96.1,"Udligenswil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a0/CHE_Udligenswil_COA.svg/960px-CHE_Udligenswil_COA.svg.png"
1068,5.7,5.7,94.3,"Vitznau (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/CHE_Vitznau_COA.svg/960px-CHE_Vitznau_COA.svg.png"
1069,25.5,25.5,74.5,"Weggis (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Weggis_COA.svg/960px-CHE_Weggis_COA.svg.png"
1081,67.4,67.4,32.6,"Beromünster (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/4/45/CHE_Berom%C3%BCnster_COA.svg/960px-CHE_Berom%C3%BCnster_COA.svg.png"
1082,47.3,47.3,52.7,"Büron (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3d/CHE_B%C3%BCron_COA.svg/960px-CHE_B%C3%BCron_COA.svg.png"
1083,98.6,98.6,1.4,"Buttisholz (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/Coat_of_arms_of_Buttisholz.svg/500px-Coat_of_arms_of_Buttisholz.svg.png"
1084,53.8,53.8,46.2,"Eich (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Eich_COA.svg/960px-CHE_Eich_COA.svg.png"
1085,74,74,26,"Geuensee (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/7/73/CHE_Geuensee_COA.svg/250px-CHE_Geuensee_COA.svg.png"
1086,46.3,46.3,53.7,"Grosswangen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/CHE_Grosswangen_COA.svg/960px-CHE_Grosswangen_COA.svg.png"
1088,56.2,56.2,43.8,"Hildisrieden (LU)",,"https://upload.wikimedia.org/wikipedia/commons/f/fd/Pic_Hildisrieden.png"
1089,37.6,37.6,62.4,"Knutwil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Coat_of_arms_of_Knutwil.svg/960px-Coat_of_arms_of_Knutwil.svg.png"
1091,89.3,89.3,10.7,"Mauensee (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/CHE_Mauensee_COA.svg/960px-CHE_Mauensee_COA.svg.png"
1093,81.9,81.9,18.1,"Neuenkirch (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d1/CHE_Neuenkirch_COA.svg/960px-CHE_Neuenkirch_COA.svg.png"
1094,9.7,9.7,90.3,"Nottwil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/4/44/Coat_of_arms_of_Nottwil.svg/960px-Coat_of_arms_of_Nottwil.svg.png"
1095,47.4,47.4,52.6,"Oberkirch (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/CHE_Oberkirch_COA.svg/960px-CHE_Oberkirch_COA.svg.png"
1097,93.6,93.6,6.4,"Rickenbach (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/CHE_Rickenbach_LU_COA.svg/500px-CHE_Rickenbach_LU_COA.svg.png"
1098,47.6,47.6,52.4,"Ruswil (LU)",,"https://upload.wikimedia.org/wikipedia/commons/5/5b/CHE_Ruswil_COA.png"
1099,33,33,67,"Schenkon (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f8/Coat_of_arms_of_Schenkon.svg/960px-Coat_of_arms_of_Schenkon.svg.png"
1100,22.2,22.2,77.8,"Schlierbach (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Coat_of_arms_of_Schlierbach_LU.svg/960px-Coat_of_arms_of_Schlierbach_LU.svg.png"
1102,8.3,8.3,91.7,"Sempach (LU)",,"https://upload.wikimedia.org/wikipedia/commons/a/a6/CHE_Sempach_COA.png"
1103,52,52,48,"Sursee (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/Coat_of_arms_of_Sursee.svg/960px-Coat_of_arms_of_Sursee.svg.png"
1104,87.8,87.8,12.2,"Triengen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/CHE_Triengen_COA.svg/960px-CHE_Triengen_COA.svg.png"
1107,6.5,6.5,93.5,"Wolhusen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c1/CHE_Wolhusen_COA_03.svg/960px-CHE_Wolhusen_COA_03.svg.png"
1121,48.6,48.6,51.4,"Alberswil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Coat_of_arms_of_Alberswil.svg/960px-Coat_of_arms_of_Alberswil.svg.png"
1122,20.1,20.1,79.9,"Altbüron (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/CHE_Altb%C3%BCron_COA.svg/960px-CHE_Altb%C3%BCron_COA.svg.png"
1123,11.4,11.4,88.6,"Altishofen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/CHE_Altishofen_COA.svg/960px-CHE_Altishofen_COA.svg.png"
1125,30.5,30.5,69.5,"Dagmersellen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/4/44/CHE_Dagmersellen_COA.svg/960px-CHE_Dagmersellen_COA.svg.png"
1127,69.5,69.5,30.5,"Egolzwil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/CHE_Egolzwil_COA.svg/960px-CHE_Egolzwil_COA.svg.png"
1128,53.2,53.2,46.8,"Ettiswil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fc/CHE_Ettiswil_COA.svg/250px-CHE_Ettiswil_COA.svg.png"
1129,25.3,25.3,74.7,"Fischbach (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Fischbach_LU_COA.svg/960px-CHE_Fischbach_LU_COA.svg.png"
1131,60.3,60.3,39.7,"Grossdietwil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/CHE_Grossdietwil_COA.svg/960px-CHE_Grossdietwil_COA.svg.png"
1132,22.4,22.4,77.6,"Hergiswil bei Willisau (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/CHE_Hergiswil_bei_Willisau_COA.svg/960px-CHE_Hergiswil_bei_Willisau_COA.svg.png"
1135,52.8,52.8,47.2,"Luthern (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/CHE_Luthern_COA.svg/960px-CHE_Luthern_COA.svg.png"
1136,39.2,39.2,60.8,"Menznau (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/Coat_of_arms_of_Menznau.svg/960px-Coat_of_arms_of_Menznau.svg.png"
1137,69.2,69.2,30.8,"Nebikon (LU)",,"https://upload.wikimedia.org/wikipedia/commons/6/6d/CHE_Nebikon_COA.png"
1139,50.1,50.1,49.9,"Pfaffnau (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/0/09/CHE_Pfaffnau_COA.svg/960px-CHE_Pfaffnau_COA.svg.png"
1140,61.3,61.3,38.7,"Reiden (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/Wappen_Reiden.svg/960px-Wappen_Reiden.svg.png"
1142,34.4,34.4,65.6,"Roggliswil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/Coat_of_arms_of_Roggliswil.svg/960px-Coat_of_arms_of_Roggliswil.svg.png"
1143,86.4,86.4,13.6,"Schötz (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/9/95/Coat_of_arms_of_Sch%C3%B6tz.svg/960px-Coat_of_arms_of_Sch%C3%B6tz.svg.png"
1145,74.3,74.3,25.7,"Ufhusen (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cd/Coat_of_arms_of_Ufhusen.svg/960px-Coat_of_arms_of_Ufhusen.svg.png"
1146,86.6,86.6,13.4,"Wauwil (LU)",,"https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/CHE_Wauwil_COA.svg/960px-CHE_Wauwil_COA.svg.png"
