"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1701,98.5,98.5,1.5,"Baar ZG","98,5 Prozent der Stimmbürgerinnen und Stimmbürger in Baar sagen Ja zur Ernährungsinitiative. Im Kanton Zug liegt Baar beim Ja-Anteil zur Ernährungsinitiative an der Spitze.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/CHE_Baar_COA.svg/500px-CHE_Baar_COA.svg.png"
1702,19.4,19.4,80.6,"Cham ZG","Mit 80,6 Prozent wird die Ernährungsinitiative in Cham verworfen. Sowohl Cham als auch der Kanton Zug verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/CHE_Cham_ZG_COA.svg/500px-CHE_Cham_ZG_COA.svg.png"
1703,73.6,73.6,26.4,"Hünenberg ZG","In Hünenberg wird die Ernährungsinitiative mit 73,6 Prozent angenommen. Hünenberg sagt Ja zur Ernährungsinitiative, im Kanton Zug überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cd/CHE_H%C3%BCnenberg_COA.svg/500px-CHE_H%C3%BCnenberg_COA.svg.png"
1704,53.4,53.4,46.6,"Menzingen ZG","53,4 Prozent der Stimmbürgerinnen und Stimmbürger in Menzingen sagen Ja zur Ernährungsinitiative. Menzingen sagt Ja zur Ernährungsinitiative, im Kanton Zug überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/CHE_Menzingen_COA.svg/500px-CHE_Menzingen_COA.svg.png"
1705,82.9,82.9,17.1,"Neuheim ZG","In Neuheim wird die Ernährungsinitiative mit 82,9 Prozent angenommen. Neuheim sagt Ja zur Ernährungsinitiative, im Kanton Zug überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/CHE_Neuheim_COA.svg/500px-CHE_Neuheim_COA.svg.png"
1706,86.9,86.9,13.1,"Oberägeri ZG","Oberägeri hat die Ernährungsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 86,9 Prozent. Oberägeri sagt Ja zur Ernährungsinitiative, im Kanton Zug überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/Ober%C3%A4geri_Wappen.svg/330px-Ober%C3%A4geri_Wappen.svg.png"
1707,38.8,38.8,61.2,"Risch ZG","In Risch hat die Ernährungsinitiative keine Mehrheit gefunden: 61,2 Prozent lehnen die Vorlage ab. Sowohl Risch als auch der Kanton Zug verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/Wappen_Risch_Rotkreuz.svg/500px-Wappen_Risch_Rotkreuz.svg.png"
1708,41,41,59,"Steinhausen ZG","Mit 59 Prozent wird die Ernährungsinitiative in Steinhausen verworfen. Sowohl Steinhausen als auch der Kanton Zug verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Steinhausen_Wappen.svg/330px-Steinhausen_Wappen.svg.png"
1709,82,82,18,"Unterägeri ZG","Die Ernährungsinitiative ist in Unterägeri mit 82 Prozent der Stimmen angenommen worden. Unterägeri sagt Ja zur Ernährungsinitiative, im Kanton Zug überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/38/CHE_Unter%C3%A4geri_COA.svg/500px-CHE_Unter%C3%A4geri_COA.svg.png"
1710,58.1,58.1,41.9,"Walchwil ZG","Walchwil hat die Ernährungsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 58,1 Prozent. Walchwil sagt Ja zur Ernährungsinitiative, im Kanton Zug überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Walchwil_COA.svg/960px-CHE_Walchwil_COA.svg.png"
1711,17.6,17.6,82.4,"Zug ZG","In Zug hat die Ernährungsinitiative keine Mehrheit gefunden: 82,4 Prozent lehnen die Vorlage ab. Zug verzeichnet im Kanton Zug den höchsten Nein-Anteil zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_Zug_ZG_COA.svg/500px-CHE_Zug_ZG_COA.svg.png"
