"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6601,60.2,60.2,39.8,"Aire-la-Ville (GE)","La population d'Aire-la-Ville approuve à 60,2 pour cent l'initiative ""pour une alimentation sûre"". Aire-la-Ville a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_Aire-la-Ville_COA.svg/960px-CHE_Aire-la-Ville_COA.svg.png"
6602,23.9,23.9,76.1,"Anières (GE)","La population d'Anières rejette à 76,1 pour cent des voix l'initiative ""pour une alimentation sûre"". Anières a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/CHE_Ani%C3%A8res_COA.svg/960px-CHE_Ani%C3%A8res_COA.svg.png"
6603,14.2,14.2,85.8,"Avully (GE)","Les habitants d'Avully s'opposent à l'initiative ""pour une alimentation sûre"" par 85,8 pour cent des voix. Avully a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/CHE_Avully_COA.svg/960px-CHE_Avully_COA.svg.png"
6604,56.4,56.4,43.6,"Avusy (GE)","A Avusy, les habitants disent oui à 56,4 pour cent à l'initiative ""pour une alimentation sûre"". Avusy a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/CHE_Avusy_COA.svg/960px-CHE_Avusy_COA.svg.png"
6605,89.3,89.3,10.7,"Bardonnex (GE)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 89,3 pour cent de oui à Bardonnex. Bardonnex a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/15/CHE_Bardonnex_COA.svg/500px-CHE_Bardonnex_COA.svg.png"
6606,9.4,9.4,90.6,"Bellevue (GE)","Les habitants de Bellevue s'opposent à l'initiative ""pour une alimentation sûre"" par 90,6 pour cent des voix. Bellevue a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/09/CHE_Bellevue_COA.svg/960px-CHE_Bellevue_COA.svg.png"
6607,60.9,60.9,39.1,"Bernex (GE)","Bernex dit oui à 60,9 pour cent à l'initiative ""pour une alimentation sûre"". Bernex a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/CHE_Bernex_COA.svg/960px-CHE_Bernex_COA.svg.png"
6608,30.7,30.7,69.3,"Carouge (GE)","L'initiative ""pour une alimentation sûre"" n'a pas convaincu à Carouge (GE). Les citoyens de la commune ont refusé le texte à 69,3 pour cent. Carouge (GE) a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/CHE_Carouge_COA.svg/960px-CHE_Carouge_COA.svg.png"
6609,70.1,70.1,29.9,"Cartigny (GE)","Les habitants de Cartigny soutiennent à 70,1 pour cent l'initiative ""pour une alimentation sûre"". Cartigny a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/CHE_Cartigny_COA.svg/960px-CHE_Cartigny_COA.svg.png"
6610,91.2,91.2,8.8,"Céligny (GE)","L'initiative ""pour une alimentation sûre"" est approuvée à Céligny par 91,2 pour cent des votants. Céligny a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/CHE_C%C3%A9ligny_COA.svg/960px-CHE_C%C3%A9ligny_COA.svg.png"
6611,89.4,89.4,10.6,"Chancy (GE)","Les habitants de Chancy acceptent à 89,4 pour cent l'initiative ""pour une alimentation sûre"". Chancy a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/CHE_Chancy_COA.svg/960px-CHE_Chancy_COA.svg.png"
6612,18.1,18.1,81.9,"Chêne-Bougeries (GE)","L'initiative ""pour une alimentation sûre"" est refusée à 81,9 pour cent à Chêne-Bougeries. Chêne-Bougeries a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/CHE_Ch%C3%AAne-Bougeries_COA.svg/500px-CHE_Ch%C3%AAne-Bougeries_COA.svg.png"
6613,93.4,93.4,6.6,"Chêne-Bourg (GE)","La population de Chêne-Bourg approuve à 93,4 pour cent l'initiative ""pour une alimentation sûre"". Chêne-Bourg a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/CHE_Ch%C3%AAne-Bourg_COA.svg/960px-CHE_Ch%C3%AAne-Bourg_COA.svg.png"
6614,76.2,76.2,23.8,"Choulex (GE)","L'initiative ""pour une alimentation sûre"" est approuvée à Choulex par 76,2 pour cent des votants. Choulex a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/CHE_Choulex_COA.svg/960px-CHE_Choulex_COA.svg.png"
6615,22.3,22.3,77.7,"Collex-Bossy (GE)","A Collex-Bossy, les citoyens rejettent à 77,7 pour cent l'initiative ""pour une alimentation sûre"". Collex-Bossy a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/CHE_Collex-Bossy_COA.svg/960px-CHE_Collex-Bossy_COA.svg.png"
6616,94.8,94.8,5.2,"Collonge-Bellerive (GE)","L'initiative ""pour une alimentation sûre"" est approuvée à Collonge-Bellerive par 94,8 pour cent des votants. L'initiative a récolté le plus grand pourcentage de oui du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f6/CHE_Collonge-Bellerive_COA.svg/960px-CHE_Collonge-Bellerive_COA.svg.png"
6617,57.8,57.8,42.2,"Cologny (GE)","A Cologny, les habitants disent oui à 57,8 pour cent à l'initiative ""pour une alimentation sûre"". Cologny a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/CHE_Cologny_COA.svg/960px-CHE_Cologny_COA.svg.png"
6618,59,59,41,"Confignon (GE)","L'initiative ""pour une alimentation sûre"" est approuvée à Confignon par 59 pour cent des votants. Confignon a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Confignon_COA.svg/960px-CHE_Confignon_COA.svg.png"
6619,56.6,56.6,43.4,"Corsier (GE)","Corsier (GE) dit oui à 56,6 pour cent à l'initiative ""pour une alimentation sûre"". Corsier (GE) a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3c/CHE_Corsier_COA.svg/960px-CHE_Corsier_COA.svg.png"
6620,56.3,56.3,43.7,"Dardagny (GE)","Dardagny dit oui à 56,3 pour cent à l'initiative ""pour une alimentation sûre"". Dardagny a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/26/CHE_Dardagny_COA.svg/960px-CHE_Dardagny_COA.svg.png"
6621,66.9,66.9,33.1,"Genève (GE)","Les habitants de Genève acceptent à 66,9 pour cent l'initiative ""pour une alimentation sûre"". Genève a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/CHE_Gen%C3%A8ve_COA.svg/960px-CHE_Gen%C3%A8ve_COA.svg.png"
6622,69.4,69.4,30.6,"Genthod (GE)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 69,4 pour cent de oui à Genthod. Genthod a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/CHE_Genthod_COA.svg/960px-CHE_Genthod_COA.svg.png"
6623,68.5,68.5,31.5,"Le Grand-Saconnex (GE)","L'initiative ""pour une alimentation sûre"" est approuvée au Grand-Saconnex par 68,5 pour cent des votants. Le Grand-Saconnex a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/CHE_Le_Grand-Saconnex_COA.svg/960px-CHE_Le_Grand-Saconnex_COA.svg.png"
