"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
2901,39.2,39.2,60.8,"Gächlingen SH","In Gächlingen wird die Ernährungsinitiative mit 60,8 Prozent abgelehnt. Gächlingen lehnt die Ernährungsinitiative ab, der Kanton Schaffhausen nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/01/CHE_G%C3%A4chlingen_COA.svg/250px-CHE_G%C3%A4chlingen_COA.svg.png"
2903,30.5,30.5,69.5,"Löhningen SH","In Löhningen hat die Ernährungsinitiative keine Mehrheit gefunden: 69,5 Prozent lehnen die Vorlage ab. Löhningen lehnt die Ernährungsinitiative ab, der Kanton Schaffhausen nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/CHE_L%C3%B6hningen_COA.svg/500px-CHE_L%C3%B6hningen_COA.svg.png"
2904,31.9,31.9,68.1,"Neunkirch SH","Nein zur Ernährungsinitiative in Neunkirch: 68,1 Prozent. Neunkirch lehnt die Ernährungsinitiative ab, der Kanton Schaffhausen nimmt sie an.","https://upload.wikimedia.org/wikipedia/commons/e/e9/Wappen_Neunkirch.png"
2914,22.6,22.6,77.4,"Büttenhardt SH","Nein zur Ernährungsinitiative in Büttenhardt: 77,4 Prozent. Büttenhardt verzeichnet im Kanton Schaffhausen den höchsten Nein-Anteil zur Ernährungsinitiative.","https://upload.wikimedia.org/wikipedia/commons/8/88/Wappen_B%C3%BCttenhardt.png"
2915,44.7,44.7,55.3,"Dörflingen SH","In Dörflingen hat die Ernährungsinitiative keine Mehrheit gefunden: 55,3 Prozent lehnen die Vorlage ab. Dörflingen lehnt die Ernährungsinitiative ab, der Kanton Schaffhausen nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/D%C3%B6rflingen-blazon.svg/250px-D%C3%B6rflingen-blazon.svg.png"
2917,92.1,92.1,7.9,"Lohn SH","Die Ernährungsinitiative ist in Lohn SH mit 92,1 Prozent der Stimmen angenommen worden. Lohn SH und der Kanton Schaffhausen sagen Ja zur Ernährungsinitiative.","https://upload.wikimedia.org/wikipedia/commons/5/5a/Wappen_Lohn.png"
2919,32.8,32.8,67.2,"Stetten SH","In Stetten SH findet die Ernährungsinitiative mit 67,2 Prozent keine Mehrheit. Stetten SH lehnt die Ernährungsinitiative ab, der Kanton Schaffhausen nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a8/Stetten_SH-blazon.svg/250px-Stetten_SH-blazon.svg.png"
2920,58.1,58.1,41.9,"Thayngen SH","In Thayngen wird die Ernährungsinitiative mit 58,1 Prozent angenommen. Thayngen und der Kanton Schaffhausen sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/40/Thayngen_Wappen.svg/500px-Thayngen_Wappen.svg.png"
2931,51.1,51.1,48.9,"Bargen SH","51,1 Prozent der Stimmbürgerinnen und Stimmbürger in Bargen SH sagen Ja zur Ernährungsinitiative. Bargen SH und der Kanton Schaffhausen sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e5/CHE_Bargen_SH_COA.svg/500px-CHE_Bargen_SH_COA.svg.png"
2932,33.8,33.8,66.2,"Beringen SH","In Beringen wird die Ernährungsinitiative mit 66,2 Prozent abgelehnt. Beringen lehnt die Ernährungsinitiative ab, der Kanton Schaffhausen nimmt sie an.","https://upload.wikimedia.org/wikipedia/commons/f/f2/Wappen_Beringen.png"
