"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
5401,43.1,43.1,56.9,"Aigle (VD)","La population d'Aigle rejette à 56,9 pour cent des voix l'initiative sur la neutralité. Aigle a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Aigle_COA.svg/500px-CHE_Aigle_COA.svg.png"
5402,71,71,29,"Bex (VD)","La population de Bex approuve à 71 pour cent l'initiative sur la neutralité. Bex a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/66/CHE_Bex_COA.svg/500px-CHE_Bex_COA.svg.png"
5403,23.1,23.1,76.9,"Chessel (VD)","Les habitants de Chessel s'opposent à l'initiative sur la neutralité par 76,9 pour cent des voix. Chessel a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/CHE_Chessel_COA.svg/500px-CHE_Chessel_COA.svg.png"
5404,24.8,24.8,75.2,"Corbeyrier (VD)","C'est non à l'initiative sur la neutralité à Corbeyrier. Les habitants ont refusé le texte à 75,2 pour cent. Corbeyrier a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/CHE_Corbeyrier_COA.svg/500px-CHE_Corbeyrier_COA.svg.png"
5405,6.6,6.6,93.4,"Gryon (VD)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de Gryon. Ils ont refusé le texte à 93,4 pour cent. Gryon a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7e/CHE_Gryon_COA.svg/500px-CHE_Gryon_COA.svg.png"
5406,46.1,46.1,53.9,"Lavey-Morcles (VD)","A Lavey-Morcles, les citoyens rejettent à 53,9 pour cent l'initiative sur la neutralité. Lavey-Morcles a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/CHE_Lavey-Morcles_COA.svg/500px-CHE_Lavey-Morcles_COA.svg.png"
5407,33.9,33.9,66.1,"Leysin (VD)","C'est non à l'initiative sur la neutralité à Leysin. Les habitants ont refusé le texte à 66,1 pour cent. Leysin a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/CHE_Leysin_COA.svg/500px-CHE_Leysin_COA.svg.png"
5408,23,23,77,"Noville (VD)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de Noville. Ils ont refusé le texte à 77 pour cent. Noville a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Noville_COA.svg/500px-CHE_Noville_COA.svg.png"
5409,96.9,96.9,3.1,"Ollon (VD)","Les habitants d'Ollon soutiennent à 96,9 pour cent l'initiative sur la neutralité. Ollon a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/CHE_Ollon_VD_COA.svg/500px-CHE_Ollon_VD_COA.svg.png"
5410,75.8,75.8,24.2,"Ormont-Dessous (VD)","La population d'Ormont-Dessous approuve à 75,8 pour cent l'initiative sur la neutralité. Ormont-Dessous a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/CHE_Ormont-Dessous_COA.svg/500px-CHE_Ormont-Dessous_COA.svg.png"
