"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6002,68.5,68.5,31.5,"Brigue-Glis (VS)","Les habitants de Brigue-Glis acceptent à 68,5 pour cent l'initiative ""pour une alimentation sûre"". Brigue-Glis a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/CHE_Brig-Glis_COA.svg/500px-CHE_Brig-Glis_COA.svg.png"
6004,88.6,88.6,11.4,"Eggerberg (VS)","Eggerberg dit oui à 88,6 pour cent à l'initiative ""pour une alimentation sûre"". Eggerberg a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/CHE_Eggerberg_COA.svg/500px-CHE_Eggerberg_COA.svg.png"
6007,20.4,20.4,79.6,"Naters (VS)","Les habitants de Naters s'opposent à l'initiative ""pour une alimentation sûre"" par 79,6 pour cent des voix. Naters a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Naters_COA.svg/500px-CHE_Naters_COA.svg.png"
6008,42.9,42.9,57.1,"Ried-Brig (VS)","L'initiative ""pour une alimentation sûre"" n'a pas trouvé grâce aux yeux des citoyens de Ried-Brig. Ils ont refusé le texte à 57,1 pour cent. Ried-Brig a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/CHE_Ried-Brig_COA.svg/500px-CHE_Ried-Brig_COA.svg.png"
6009,68.2,68.2,31.8,"Simplon (VS)","A Simplon, les habitants disent oui à 68,2 pour cent à l'initiative ""pour une alimentation sûre"". Simplon a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/CHE_Simplon_COA.svg/500px-CHE_Simplon_COA.svg.png"
6010,46.5,46.5,53.5,"Termen (VS)","L'initiative ""pour une alimentation sûre"" est refusée à 53,5 pour cent à Termen. Termen a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/CHE_Termen_COA.svg/500px-CHE_Termen_COA.svg.png"
6011,77.8,77.8,22.2,"Zwischbergen (VS)","L'initiative ""pour une alimentation sûre"" est approuvée à Zwischbergen par 77,8 pour cent des votants. Zwischbergen a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/CHE_Zwischbergen_COA.svg/500px-CHE_Zwischbergen_COA.svg.png"
6021,41.4,41.4,58.6,"Ardon (VS)","L'initiative ""pour une alimentation sûre"" est refusée à 58,6 pour cent à Ardon. Ardon a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/CHE_Ardon_COA.svg/500px-CHE_Ardon_COA.svg.png"
6022,85.7,85.7,14.3,"Chamoson (VS)","Les habitants de Chamoson acceptent à 85,7 pour cent l'initiative ""pour une alimentation sûre"". Chamoson a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/CHE_Chamoson_COA.svg/500px-CHE_Chamoson_COA.svg.png"
6023,57.8,57.8,42.2,"Conthey (VS)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 57,8 pour cent de oui à Conthey. Conthey a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/31/CHE_Conthey_COA.svg/500px-CHE_Conthey_COA.svg.png"
