"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6404,1.1,1.1,98.9,"Boudry (NE)","Les habitants de Boudry s'opposent à l'initiative ""pour une alimentation sûre"" par 98,9 pour cent des voix. Boudry a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/CHE_Boudry_COA.svg/250px-CHE_Boudry_COA.svg.png"
6408,74,74,26,"Cortaillod (NE)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 74 pour cent de oui à Cortaillod. Cortaillod a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/Cortaillod-blazon.svg/250px-Cortaillod-blazon.svg.png"
6413,40.5,40.5,59.5,"Rochefort (NE)","C'est non à l'initiative ""pour une alimentation sûre"" à Rochefort. Les habitants ont refusé le texte à 59,5 pour cent. Rochefort a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ca/Rochefort-blazon.svg/250px-Rochefort-blazon.svg.png"
6416,86,86,14,"Milvignes (NE)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 86 pour cent de oui à Milvignes. Milvignes a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/Milvignes-blazon.svg/250px-Milvignes-blazon.svg.png"
6417,63,63,37,"La Grande Béroche (NE)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 63 pour cent de oui à La Grande Béroche. La Grande Béroche a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6e/LaGrandeB%C3%A9roche-blazon.svg/250px-LaGrandeB%C3%A9roche-blazon.svg.png"
6421,68,68,32,"La Chaux-de-Fonds (NE)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 68 pour cent de oui à La Chaux-de-Fonds. La Chaux-de-Fonds a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/CHE_La_Chaux-de-Fonds_COA.svg/500px-CHE_La_Chaux-de-Fonds_COA.svg.png"
6422,58.8,58.8,41.2,"Les Planchettes (NE)","Aux Planchettes, les habitants disent oui à 58,8 pour cent à l'initiative ""pour une alimentation sûre"". Les Planchettes a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/CHE_Les_Planchettes_COA.svg/500px-CHE_Les_Planchettes_COA.svg.png"
6423,12.4,12.4,87.6,"La Sagne (NE)","Les habitants de La Sagne s'opposent à l'initiative ""pour une alimentation sûre"" par 87,6 pour cent des voix. La Sagne a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/La_Sagne-coat_of_arms.svg/500px-La_Sagne-coat_of_arms.svg.png"
6432,44.3,44.3,55.7,"La Brévine (NE)","Les habitants de La Brévine s'opposent à l'initiative ""pour une alimentation sûre"" par 55,7 pour cent des voix. La Brévine a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/CHE_La_Br%C3%A9vine_COA.svg/500px-CHE_La_Br%C3%A9vine_COA.svg.png"
6433,49.8,49.8,50.2,"Brot-Plamboz (NE)","A Brot-Plamboz, les citoyens rejettent à 50,2 pour cent l'initiative ""pour une alimentation sûre"". Brot-Plamboz a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Brot-Plamboz-coat_of_arms.svg/500px-Brot-Plamboz-coat_of_arms.svg.png"
6434,37.2,37.2,62.8,"Le Cerneux-Péquignot (NE)","L'initiative ""pour une alimentation sûre"" n'a pas trouvé grâce aux yeux des citoyens du Cerneux-Péquignot. Ils ont refusé le texte à 62,8 pour cent. Le Cerneux-Péquignot a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Le_Cerneux-Pequignot-coat_of_arms.svg/500px-Le_Cerneux-Pequignot-coat_of_arms.svg.png"
6435,48.4,48.4,51.6,"La Chaux-du-Milieu (NE)","Les habitants de La Chaux-du-Milieu s'opposent à l'initiative ""pour une alimentation sûre"" par 51,6 pour cent des voix. La Chaux-du-Milieu a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/49/La_Chaux-du-Milieu-coat_of_arms.svg/500px-La_Chaux-du-Milieu-coat_of_arms.svg.png"
6436,96.6,96.6,3.4,"Le Locle (NE)","L'initiative ""pour une alimentation sûre"" est approuvée au Locle par 96,6 pour cent des votants. L'initiative a récolté le plus grand pourcentage de oui du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/LeLocle-blazon.svg/250px-LeLocle-blazon.svg.png"
6437,11,11,89,"Les Ponts-de-Martel (NE)","C'est non à l'initiative ""pour une alimentation sûre"" aux Ponts-de-Martel. Les habitants ont refusé le texte à 89 pour cent. Les Ponts-de-Martel a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/CHE_Les_Ponts-de-Martel_COA.svg/500px-CHE_Les_Ponts-de-Martel_COA.svg.png"
6451,26.4,26.4,73.6,"Cornaux (NE)","L'initiative ""pour une alimentation sûre"" est refusée à 73,6 pour cent à Cornaux. Cornaux a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/CHE_Cornaux_COA.svg/500px-CHE_Cornaux_COA.svg.png"
6452,55.9,55.9,44.1,"Cressier (NE)","Les habitants de Cressier (NE) acceptent à 55,9 pour cent l'initiative ""pour une alimentation sûre"". Cressier (NE) a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d4/Cressier_NE-blazon.svg/250px-Cressier_NE-blazon.svg.png"
6455,13.1,13.1,86.9,"Le Landeron (NE)","La population du Landeron rejette à 86,9 pour cent des voix l'initiative ""pour une alimentation sûre"". Le Landeron a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/01/LeLanderon-blazon.svg/250px-LeLanderon-blazon.svg.png"
6456,70.7,70.7,29.3,"Lignières (NE)","A Lignières, les habitants disent oui à 70,7 pour cent à l'initiative ""pour une alimentation sûre"". Lignières a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/CHE_Ligni%C3%A8res_COA.svg/500px-CHE_Ligni%C3%A8res_COA.svg.png"
6458,43.3,43.3,56.7,"Neuchâtel (NE)","C'est non à l'initiative ""pour une alimentation sûre"" à Neuchâtel. Les habitants ont refusé le texte à 56,7 pour cent. Neuchâtel a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/CHE_Neuch%C3%A2tel_COA.svg/500px-CHE_Neuch%C3%A2tel_COA.svg.png"
6487,8.9,8.9,91.1,"Val-de-Ruz (NE)","L'initiative ""pour une alimentation sûre"" n'a pas convaincu à Val-de-Ruz. Les citoyens de la commune ont refusé le texte à 91,1 pour cent. Val-de-Ruz a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/CHE_Val-de-Ruz_COA.svg/500px-CHE_Val-de-Ruz_COA.svg.png"
6504,66,66,34,"La Côte-aux-Fées (NE)","La Côte-aux-Fées dit oui à 66 pour cent à l'initiative ""pour une alimentation sûre"". La Côte-aux-Fées a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/CHE_La_C%C3%B4te-aux-F%C3%A9es_COA.svg/500px-CHE_La_C%C3%B4te-aux-F%C3%A9es_COA.svg.png"
6511,0.7,0.7,99.3,"Les Verrières (NE)","C'est non à l'initiative ""pour une alimentation sûre"" aux Verrières. Les habitants ont refusé le texte à 99,3 pour cent. L'initiative a récolté le plus grand pourcentage de non du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/CHE_Les_Verri%C3%A8res_COA.svg/500px-CHE_Les_Verri%C3%A8res_COA.svg.png"
6512,41.1,41.1,58.9,"Val-de-Travers (NE)","L'initiative ""pour une alimentation sûre"" est refusée à 58,9 pour cent à Val-de-Travers. Val-de-Travers a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/CHE_Val-de-Travers_COA.svg/250px-CHE_Val-de-Travers_COA.svg.png"
6513,49.6,49.6,50.4,"Laténa (NE)","A Laténa, les citoyens rejettent à 50,4 pour cent l'initiative ""pour une alimentation sûre"". Laténa a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/CHE_Lat%C3%A9na_COA.svg/500px-CHE_Lat%C3%A9na_COA.svg.png"
