"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
301,55,55,45,"Aarberg (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/CHE_Aarberg_BE_COA.svg/500px-CHE_Aarberg_BE_COA.svg.png"
302,3.7,3.7,96.3,"Bargen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Bargen_BE_COA.svg/500px-CHE_Bargen_BE_COA.svg.png"
303,32.5,32.5,67.5,"Grossaffoltern (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/CHE_Grossaffoltern_BE_COA.svg/500px-CHE_Grossaffoltern_BE_COA.svg.png"
304,46.8,46.8,53.2,"Kallnach (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/CHE_Kallnach_COA.svg/500px-CHE_Kallnach_COA.svg.png"
305,35.8,35.8,64.2,"Kappelen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/CHE_Kappelen_BE_COA.svg/500px-CHE_Kappelen_BE_COA.svg.png"
306,64,64,36,"Lyss (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/CHE_Lyss_COA.svg/500px-CHE_Lyss_COA.svg.png"
307,61.1,61.1,38.9,"Meikirch (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/CHE_Meikirch_COA.svg/500px-CHE_Meikirch_COA.svg.png"
309,94.4,94.4,5.6,"Radelfingen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/05/CHE_Radelfingen_BE_COA.svg/500px-CHE_Radelfingen_BE_COA.svg.png"
310,52.4,52.4,47.6,"Rapperswil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Rapperswil_BE_official_COA.svg/500px-CHE_Rapperswil_BE_official_COA.svg.png"
311,57.5,57.5,42.5,"Schüpfen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Sch%C3%BCpfen_BE_COA.svg/500px-CHE_Sch%C3%BCpfen_BE_COA.svg.png"
312,51.7,51.7,48.3,"Seedorf (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7a/CHE_Seedorf_BE_COA.svg/960px-CHE_Seedorf_BE_COA.svg.png"
321,1.6,1.6,98.4,"Aarwangen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/CHE_Aarwangen_COA.svg/960px-CHE_Aarwangen_COA.svg.png"
322,56.9,56.9,43.1,"Auswil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/CHE_Auswil_COA.svg/960px-CHE_Auswil_COA.svg.png"
323,74.9,74.9,25.1,"Bannwil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/CHE_Bannwil_COA.svg/500px-CHE_Bannwil_COA.svg.png"
324,16.5,16.5,83.5,"Bleienbach (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/CHE_Bleienbach_COA.svg/960px-CHE_Bleienbach_COA.svg.png"
325,20.2,20.2,79.8,"Busswil bei Melchnau (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/CHE_Busswil_bei_Melchnau_COA.svg/500px-CHE_Busswil_bei_Melchnau_COA.svg.png"
326,21.3,21.3,78.7,"Gondiswil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/CHE_Gondiswil_COA.svg/960px-CHE_Gondiswil_COA.svg.png"
329,71.4,71.4,28.6,"Langenthal (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f2/CHE_Langenthal_COA.svg/960px-CHE_Langenthal_COA.svg.png"
331,49.3,49.3,50.7,"Lotzwil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/CHE_Lotzwil_COA.svg/500px-CHE_Lotzwil_COA.svg.png"
332,52.3,52.3,47.7,"Madiswil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/45/CHE_Madiswil_COA.svg/500px-CHE_Madiswil_COA.svg.png"
333,51.3,51.3,48.7,"Melchnau (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/CHE_Melchnau_COA.svg/500px-CHE_Melchnau_COA.svg.png"
335,94.6,94.6,5.4,"Oeschenbach (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/CHE_Oeschenbach_COA.svg/500px-CHE_Oeschenbach_COA.svg.png"
336,69.6,69.6,30.4,"Reisiswil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5b/CHE_Reisiswil_COA.svg/500px-CHE_Reisiswil_COA.svg.png"
337,10,10,90,"Roggwil (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e0/CHE_Roggwil_BE_COA.svg/500px-CHE_Roggwil_BE_COA.svg.png"
338,67.7,67.7,32.3,"Rohrbach (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/CHE_Rohrbach_COA.svg/960px-CHE_Rohrbach_COA.svg.png"
339,63.8,63.8,36.2,"Rohrbachgraben (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/CHE_Rohrbachgraben_COA.svg/500px-CHE_Rohrbachgraben_COA.svg.png"
340,50.5,50.5,49.5,"Rütschelen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c1/CHE_R%C3%BCtschelen_COA.svg/960px-CHE_R%C3%BCtschelen_COA.svg.png"
341,74.8,74.8,25.2,"Schwarzhäusern (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5b/CHE_Schwarzh%C3%A4usern_COA.svg/500px-CHE_Schwarzh%C3%A4usern_COA.svg.png"
342,48.8,48.8,51.2,"Thunstetten (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e5/CHE_Thunstetten_COA.svg/500px-CHE_Thunstetten_COA.svg.png"
344,34.9,34.9,65.1,"Ursenbach (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/CHE_Ursenbach_COA.svg/500px-CHE_Ursenbach_COA.svg.png"
345,48.5,48.5,51.5,"Wynau (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ab/CHE_Wynau_COA.svg/500px-CHE_Wynau_COA.svg.png"
351,14.2,14.2,85.8,"Berna (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/CHE_Bern_BE_COA.svg/960px-CHE_Bern_BE_COA.svg.png"
352,38.4,38.4,61.6,"Bolligen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/ba/CHE_Bolligen_COA.svg/500px-CHE_Bolligen_COA.svg.png"
353,71.4,71.4,28.6,"Bremgarten bei Bern (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/CHE_Bremgarten_bei_Bern_COA.svg/500px-CHE_Bremgarten_bei_Bern_COA.svg.png"
354,72.3,72.3,27.7,"Kirchlindach (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/CHE_Kirchlindach_COA.svg/500px-CHE_Kirchlindach_COA.svg.png"
355,34.8,34.8,65.2,"Köniz (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e3/CHE_K%C3%B6niz_COA.svg/960px-CHE_K%C3%B6niz_COA.svg.png"
356,62.4,62.4,37.6,"Muri bei Bern (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/CHE_Muri_bei_Bern_COA.svg/500px-CHE_Muri_bei_Bern_COA.svg.png"
357,78.7,78.7,21.3,"Oberbalm (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5b/CHE_Oberbalm_COA.svg/500px-CHE_Oberbalm_COA.svg.png"
358,46.6,46.6,53.4,"Stettlen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9d/CHE_Stettlen_COA.svg/500px-CHE_Stettlen_COA.svg.png"
359,60.4,60.4,39.6,"Vechigen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/df/CHE_Vechigen_COA.svg/500px-CHE_Vechigen_COA.svg.png"
360,17.9,17.9,82.1,"Wohlen bei Bern (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/CHE_Wohlen_bei_Bern_COA.svg/500px-CHE_Wohlen_bei_Bern_COA.svg.png"
361,55.2,55.2,44.8,"Zollikofen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/CHE_Zollikofen_COA.svg/500px-CHE_Zollikofen_COA.svg.png"
362,23,23,77,"Ittigen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/CHE_Ittigen_COA.svg/960px-CHE_Ittigen_COA.svg.png"
363,41.6,41.6,58.4,"Ostermundigen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/CHE_Ostermundigen_COA.svg/500px-CHE_Ostermundigen_COA.svg.png"
371,23.7,23.7,76.3,"Bienne (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/CHE_Biel_COA.svg/960px-CHE_Biel_COA.svg.png"
372,6.1,6.1,93.9,"Evilard (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5b/CHE_Evilard_COA.svg/500px-CHE_Evilard_COA.svg.png"
381,52.8,52.8,47.2,"Arch (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/CHE_Arch_COA.svg/500px-CHE_Arch_COA.svg.png"
382,56.7,56.7,43.3,"Büetigen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e0/CHE_B%C3%BCetigen_COA.svg/500px-CHE_B%C3%BCetigen_COA.svg.png"
383,33.2,33.2,66.8,"Büren an der Aare (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/CHE_B%C3%BCren_an_der_Aare_COA.svg/500px-CHE_B%C3%BCren_an_der_Aare_COA.svg.png"
385,38.2,38.2,61.8,"Diessbach bei Büren (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1b/CHE_Diessbach_bei_B%C3%BCren_COA.svg/500px-CHE_Diessbach_bei_B%C3%BCren_COA.svg.png"
386,57.3,57.3,42.7,"Dotzigen (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/CHE_Dotzigen_BE_COA.svg/500px-CHE_Dotzigen_BE_COA.svg.png"
387,50.2,50.2,49.8,"Longeau (BE)","NA NA","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/CHE_Lengnau_BE_COA.svg/500px-CHE_Lengnau_BE_COA.svg.png"
