"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
301,89.2,89.2,10.8,"Aarberg (BE)","L'initiative ""pour une alimentation sûre"" est approuvée à Aarberg par 89,2 pour cent des votants. Aarberg a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/CHE_Aarberg_BE_COA.svg/500px-CHE_Aarberg_BE_COA.svg.png"
302,87,87,13,"Bargen (BE)","Les habitants de Bargen (BE) soutiennent à 87 pour cent l'initiative ""pour une alimentation sûre"". Bargen (BE) a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Bargen_BE_COA.svg/500px-CHE_Bargen_BE_COA.svg.png"
303,81.9,81.9,18.1,"Grossaffoltern (BE)","A Grossaffoltern, les habitants disent oui à 81,9 pour cent à l'initiative ""pour une alimentation sûre"". Grossaffoltern a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/CHE_Grossaffoltern_BE_COA.svg/500px-CHE_Grossaffoltern_BE_COA.svg.png"
304,25,25,75,"Kallnach (BE)","L'initiative ""pour une alimentation sûre"" n'a pas convaincu à Kallnach. Les citoyens de la commune ont refusé le texte à 75 pour cent. Kallnach a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/CHE_Kallnach_COA.svg/500px-CHE_Kallnach_COA.svg.png"
305,47.3,47.3,52.7,"Kappelen (BE)","C'est non à l'initiative ""pour une alimentation sûre"" à Kappelen. Les habitants ont refusé le texte à 52,7 pour cent. Kappelen a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/CHE_Kappelen_BE_COA.svg/500px-CHE_Kappelen_BE_COA.svg.png"
306,25.7,25.7,74.3,"Lyss (BE)","L'initiative ""pour une alimentation sûre"" est refusée à 74,3 pour cent à Lyss. Lyss a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/CHE_Lyss_COA.svg/500px-CHE_Lyss_COA.svg.png"
307,34.5,34.5,65.5,"Meikirch (BE)","Les habitants de Meikirch s'opposent à l'initiative ""pour une alimentation sûre"" par 65,5 pour cent des voix. Meikirch a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/CHE_Meikirch_COA.svg/500px-CHE_Meikirch_COA.svg.png"
309,26.4,26.4,73.6,"Radelfingen (BE)","La population de Radelfingen rejette à 73,6 pour cent des voix l'initiative ""pour une alimentation sûre"". Radelfingen a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/05/CHE_Radelfingen_BE_COA.svg/500px-CHE_Radelfingen_BE_COA.svg.png"
310,9.5,9.5,90.5,"Rapperswil (BE)","L'initiative ""pour une alimentation sûre"" est refusée à 90,5 pour cent à Rapperswil (BE). Rapperswil (BE) a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Rapperswil_BE_official_COA.svg/500px-CHE_Rapperswil_BE_official_COA.svg.png"
311,97.8,97.8,2.2,"Schüpfen (BE)","A Schüpfen, les habitants disent oui à 97,8 pour cent à l'initiative ""pour une alimentation sûre"". Schüpfen a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Sch%C3%BCpfen_BE_COA.svg/500px-CHE_Sch%C3%BCpfen_BE_COA.svg.png"
312,80.1,80.1,19.9,"Seedorf (BE)","Seedorf (BE) dit oui à 80,1 pour cent à l'initiative ""pour une alimentation sûre"". Seedorf (BE) a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7a/CHE_Seedorf_BE_COA.svg/960px-CHE_Seedorf_BE_COA.svg.png"
321,48.1,48.1,51.9,"Aarwangen (BE)","L'initiative ""pour une alimentation sûre"" n'a pas trouvé grâce aux yeux des citoyens d'Aarwangen. Ils ont refusé le texte à 51,9 pour cent. Aarwangen a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/CHE_Aarwangen_COA.svg/960px-CHE_Aarwangen_COA.svg.png"
322,57.7,57.7,42.3,"Auswil (BE)","Les habitants d'Auswil acceptent à 57,7 pour cent l'initiative ""pour une alimentation sûre"". Auswil a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/CHE_Auswil_COA.svg/960px-CHE_Auswil_COA.svg.png"
323,42.6,42.6,57.4,"Bannwil (BE)","La population de Bannwil rejette à 57,4 pour cent des voix l'initiative ""pour une alimentation sûre"". Bannwil a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/CHE_Bannwil_COA.svg/500px-CHE_Bannwil_COA.svg.png"
324,50.5,50.5,49.5,"Bleienbach (BE)","Bleienbach dit oui à 50,5 pour cent à l'initiative ""pour une alimentation sûre"". Bleienbach a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/CHE_Bleienbach_COA.svg/960px-CHE_Bleienbach_COA.svg.png"
325,80.8,80.8,19.2,"Busswil bei Melchnau (BE)","Les habitants de Busswil bei Melchnau soutiennent à 80,8 pour cent l'initiative ""pour une alimentation sûre"". Busswil bei Melchnau a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/CHE_Busswil_bei_Melchnau_COA.svg/500px-CHE_Busswil_bei_Melchnau_COA.svg.png"
326,62.3,62.3,37.7,"Gondiswil (BE)","Les habitants de Gondiswil acceptent à 62,3 pour cent l'initiative ""pour une alimentation sûre"". Gondiswil a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/CHE_Gondiswil_COA.svg/960px-CHE_Gondiswil_COA.svg.png"
329,45.6,45.6,54.4,"Langenthal (BE)","C'est non à l'initiative ""pour une alimentation sûre"" à Langenthal. Les habitants ont refusé le texte à 54,4 pour cent. Langenthal a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f2/CHE_Langenthal_COA.svg/960px-CHE_Langenthal_COA.svg.png"
331,99.5,99.5,0.5,"Lotzwil (BE)","Lotzwil dit oui à 99,5 pour cent à l'initiative ""pour une alimentation sûre"". Lotzwil a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/CHE_Lotzwil_COA.svg/500px-CHE_Lotzwil_COA.svg.png"
332,4.8,4.8,95.2,"Madiswil (BE)","A Madiswil, les citoyens rejettent à 95,2 pour cent l'initiative ""pour une alimentation sûre"". Madiswil a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/45/CHE_Madiswil_COA.svg/500px-CHE_Madiswil_COA.svg.png"
333,63.7,63.7,36.3,"Melchnau (BE)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 63,7 pour cent de oui à Melchnau. Melchnau a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/CHE_Melchnau_COA.svg/500px-CHE_Melchnau_COA.svg.png"
335,3.4,3.4,96.6,"Oeschenbach (BE)","Les habitants d'Oeschenbach s'opposent à l'initiative ""pour une alimentation sûre"" par 96,6 pour cent des voix. Oeschenbach a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/CHE_Oeschenbach_COA.svg/500px-CHE_Oeschenbach_COA.svg.png"
336,55.2,55.2,44.8,"Reisiswil (BE)","A Reisiswil, les habitants disent oui à 55,2 pour cent à l'initiative ""pour une alimentation sûre"". Reisiswil a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5b/CHE_Reisiswil_COA.svg/500px-CHE_Reisiswil_COA.svg.png"
