"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
5401,59.1,59.1,40.9,"Aigle VD","Die Steuersenkung von 12 Prozent erreicht in Aigle 59,1 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Waadt stimmt Aigle der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Aigle_COA.svg/500px-CHE_Aigle_COA.svg.png"
5402,72.7,72.7,27.3,"Bex VD","Ja zur Steuersenkung von 12 Prozent in Bex: 72,7 Prozent. Übereinstimmend mit dem Kanton Waadt stimmt Bex der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/66/CHE_Bex_COA.svg/500px-CHE_Bex_COA.svg.png"
5403,71.1,71.1,28.9,"Chessel VD","Die Steuersenkung von 12 Prozent erreicht in Chessel 71,1 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Waadt stimmt Chessel der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/CHE_Chessel_COA.svg/500px-CHE_Chessel_COA.svg.png"
5404,49.9,49.9,50.1,"Corbeyrier VD","In Corbeyrier ist die Steuersenkung von 12 Prozent mit 50,1 Prozent der Stimmen gescheitert. Abweichung: Corbeyrier verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/CHE_Corbeyrier_COA.svg/500px-CHE_Corbeyrier_COA.svg.png"
5405,78.2,78.2,21.8,"Gryon VD","Die Steuersenkung von 12 Prozent erreicht in Gryon 78,2 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Waadt stimmt Gryon der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7e/CHE_Gryon_COA.svg/500px-CHE_Gryon_COA.svg.png"
5406,58.8,58.8,41.2,"Lavey-Morcles VD","Die Vorlage zur Steuersenkung von 12 Prozent ist in Lavey-Morcles mit 58,8 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Waadt stimmt Lavey-Morcles der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/CHE_Lavey-Morcles_COA.svg/500px-CHE_Lavey-Morcles_COA.svg.png"
5407,59,59,41,"Leysin VD","Die Vorlage zur Steuersenkung von 12 Prozent ist in Leysin mit 59 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Waadt stimmt Leysin der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/CHE_Leysin_COA.svg/500px-CHE_Leysin_COA.svg.png"
5408,23.3,23.3,76.7,"Noville VD","Nein zur Steuersenkung von 12 Prozent in Noville: 76,7 Prozent. Abweichung: Noville verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Noville_COA.svg/500px-CHE_Noville_COA.svg.png"
5409,70.2,70.2,29.8,"Ollon VD","Die Vorlage zur Steuersenkung von 12 Prozent ist in Ollon mit 70,2 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Waadt stimmt Ollon der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/CHE_Ollon_VD_COA.svg/500px-CHE_Ollon_VD_COA.svg.png"
5410,90.5,90.5,9.5,"Ormont-Dessous VD","Ja zur Steuersenkung von 12 Prozent in Ormont-Dessous: 90,5 Prozent. Übereinstimmend mit dem Kanton Waadt stimmt Ormont-Dessous der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/CHE_Ormont-Dessous_COA.svg/500px-CHE_Ormont-Dessous_COA.svg.png"
5411,70.5,70.5,29.5,"Ormont-Dessus VD","Die Vorlage zur Steuersenkung von 12 Prozent ist in Ormont-Dessus mit 70,5 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Waadt stimmt Ormont-Dessus der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9d/CHE_Ormont-Dessus_COA.svg/500px-CHE_Ormont-Dessus_COA.svg.png"
5412,56.8,56.8,43.2,"Rennaz VD","Die Steuersenkung von 12 Prozent erreicht in Rennaz 56,8 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Waadt stimmt Rennaz der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/CHE_Rennaz_COA.svg/500px-CHE_Rennaz_COA.svg.png"
5413,24.9,24.9,75.1,"Roche VD","In Roche VD ist die Steuersenkung von 12 Prozent mit 75,1 Prozent der Stimmen gescheitert. Abweichung: Roche VD verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a8/CHE_Roche_COA.svg/500px-CHE_Roche_COA.svg.png"
5414,6.3,6.3,93.7,"Villeneuve VD","In Villeneuve VD ist die Steuersenkung von 12 Prozent mit 93,7 Prozent der Stimmen gescheitert. Abweichung: Villeneuve VD verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e9/CHE_Villeneuve_COA.svg/500px-CHE_Villeneuve_COA.svg.png"
5415,39.6,39.6,60.4,"Yvorne VD","Nein zur Steuersenkung von 12 Prozent in Yvorne: 60,4 Prozent. Abweichung: Yvorne verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5e/CHE_Yvorne_COA.svg/500px-CHE_Yvorne_COA.svg.png"
5422,39.7,39.7,60.3,"Aubonne VD","Nein zur Steuersenkung von 12 Prozent in Aubonne: 60,3 Prozent. Abweichung: Aubonne verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/ba/CHE_Aubonne_COA.svg/500px-CHE_Aubonne_COA.svg.png"
5423,91,91,9,"Ballens VD","Die Vorlage zur Steuersenkung von 12 Prozent ist in Ballens mit 91 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Waadt stimmt Ballens der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/CHE_Ballens_COA.svg/500px-CHE_Ballens_COA.svg.png"
5424,32.4,32.4,67.6,"Berolle VD","In Berolle hat die Steuersenkung von 12 Prozent keine Mehrheit gefunden: 67,6 Prozent lehnen die Vorlage ab. Abweichung: Berolle verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/57/CHE_Berolle_COA.svg/500px-CHE_Berolle_COA.svg.png"
5425,57,57,43,"Bière VD","Die Steuersenkung von 12 Prozent erreicht in Bière 57 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Waadt stimmt Bière der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Bi%C3%A8re_COA.svg/500px-CHE_Bi%C3%A8re_COA.svg.png"
5426,91.7,91.7,8.3,"Bougy-Villars VD","Ja zur Steuersenkung von 12 Prozent in Bougy-Villars: 91,7 Prozent. Übereinstimmend mit dem Kanton Waadt stimmt Bougy-Villars der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/CHE_Bougy-Villars_COA.svg/500px-CHE_Bougy-Villars_COA.svg.png"
5427,36.3,36.3,63.7,"Féchy VD","In Féchy ist die Steuersenkung von 12 Prozent mit 63,7 Prozent der Stimmen gescheitert. Abweichung: Féchy verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/83/CHE_F%C3%A9chy_COA.svg/500px-CHE_F%C3%A9chy_COA.svg.png"
5428,57,57,43,"Gimel VD","Ja zur Steuersenkung von 12 Prozent in Gimel: 57 Prozent. Übereinstimmend mit dem Kanton Waadt stimmt Gimel der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/CHE_Gimel_COA.svg/500px-CHE_Gimel_COA.svg.png"
5429,19.2,19.2,80.8,"Longirod VD","In Longirod hat die Steuersenkung von 12 Prozent keine Mehrheit gefunden: 80,8 Prozent lehnen die Vorlage ab. Abweichung: Longirod verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/20/CHE_Longirod_COA.svg/500px-CHE_Longirod_COA.svg.png"
5430,17.1,17.1,82.9,"Marchissy VD","In Marchissy ist die Steuersenkung von 12 Prozent mit 82,9 Prozent der Stimmen gescheitert. Abweichung: Marchissy verwirft die Steuersenkung von 12 Prozent, der Kanton Waadt stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/CHE_Marchissy_COA.svg/500px-CHE_Marchissy_COA.svg.png"
5431,53.3,53.3,46.7,"Mollens VD","Die Vorlage zur Steuersenkung von 12 Prozent ist in Mollens VD mit 53,3 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Waadt stimmt Mollens VD der Steuersenkung von 12 Prozent zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/CHE_Mollens_COA.svg/500px-CHE_Mollens_COA.svg.png"
